"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",22,6,16,13,19,27,2,8,16,14,10,18,6,25,13,15,1,29,3,5,2,3,12,6,23,7
"2",15,17,4,15,3,7,8,16,9,6,16,6,29,15,1,2,28,11,2,1,8,12,14,28,28,18
"3",10,25,14,23,18,21,9,27,6,17,4,24,23,27,5,9,13,9,28,22,11,24,4,14,26,10
"4",23,21,3,6,23,18,4,13,8,5,11,4,7,6,22,12,6,14,23,27,19,26,22,19,9,9
"5",14,20,24,2,22,4,18,21,19,13,27,12,16,23,3,11,3,10,26,3,27,8,27,10,5,14
"6",12,28,25,8,1,23,21,14,15,1,8,15,1,28,27,19,20,12,27,13,10,1,15,26,15,28
"7",27,26,7,3,20,12,29,4,25,15,7,11,19,1,18,10,22,24,7,19,13,6,3,16,25,17
"8",5,16,27,26,15,24,20,7,20,3,22,16,27,7,17,13,2,7,1,24,23,27,11,13,19,25
"9",18,7,10,19,26,3,24,23,22,9,5,2,4,22,11,18,15,4,11,8,22,23,5,21,18,24
"10",2,24,8,24,16,17,10,18,21,25,17,9,5,10,25,20,24,6,17,4,26,4,16,7,24,2
"11",26,18,13,27,21,5,16,10,10,28,9,25,10,14,4,27,4,17,20,21,24,2,10,27,11,23
"12",7,2,26,18,28,22,5,6,2,21,20,7,15,2,6,23,16,21,15,14,17,10,29,24,29,16
"13",8,14,11,1,4,29,17,1,1,11,15,29,13,19,23,21,17,22,12,2,29,29,1,15,10,15
"14",19,29,17,9,2,2,6,5,5,24,24,19,22,4,12,16,11,5,10,12,20,14,6,2,14,3
"15",24,3,28,12,11,8,1,26,12,10,2,28,17,9,19,8,23,19,18,11,28,16,20,8,21,26
"16",4,13,22,22,6,14,28,19,4,8,1,1,9,16,9,7,10,20,9,20,15,5,19,3,7,4
"17",6,19,23,4,10,10,3,24,27,22,12,17,3,13,7,28,21,15,5,28,5,21,9,12,8,19
"18",13,27,9,25,12,20,22,25,14,20,21,23,2,3,16,4,8,27,6,7,12,19,26,22,6,20
"19",17,5,18,10,5,26,26,28,24,26,25,10,11,17,26,5,7,16,19,23,21,13,8,23,27,11
"20",28,22,29,21,14,6,12,20,26,16,19,8,28,20,28,22,9,23,14,10,3,28,18,25,13,5
"21",16,8,21,16,17,11,19,3,13,27,6,21,18,24,24,14,29,3,4,25,16,20,28,29,3,6
"22",21,10,6,29,8,19,7,17,29,2,23,20,21,26,8,17,19,26,16,29,25,9,17,17,1,12
"23",25,11,19,28,25,25,27,22,7,12,13,14,25,5,20,24,27,13,21,6,9,15,7,4,2,13
"24",29,12,15,20,13,28,13,2,28,23,14,5,12,12,2,3,18,2,29,16,4,17,25,9,12,27
"25",1,1,1,7,29,13,11,15,17,29,18,13,24,29,21,1,12,18,13,15,14,22,13,1,4,29
"26",11,23,12,14,7,9,25,9,11,18,26,3,20,21,14,25,25,28,24,26,18,25,23,5,22,22
"27",9,4,2,5,9,15,23,12,23,19,3,27,26,8,10,26,5,8,22,9,7,11,21,18,17,8
"28",20,15,5,11,27,16,15,29,3,7,29,22,14,18,29,29,14,1,8,18,1,7,24,11,20,21
"29",3,9,20,17,24,1,14,11,18,4,28,26,8,11,15,6,26,25,25,17,6,18,2,20,16,1
