"","V1","V2","V3","V4","V5","V6"
"1",23,25,10,26,6,15
"2",8,12,6,20,1,11
"3",20,20,24,15,2,28
"4",10,22,26,25,17,4
"5",6,19,2,28,23,18
"6",28,24,23,12,22,8
"7",22,27,5,4,19,27
"8",26,18,3,18,10,2
"9",21,4,8,24,26,6
"10",16,21,12,1,25,10
"11",9,6,25,7,24,23
"12",13,1,4,10,18,14
"13",14,29,15,22,13,20
"14",24,2,27,16,14,12
"15",11,26,17,8,3,5
"16",17,9,1,13,8,22
"17",2,3,19,23,9,26
"18",29,14,16,27,16,25
"19",25,13,18,9,29,17
"20",19,10,20,3,12,3
"21",4,7,14,14,20,1
"22",15,8,22,29,5,9
"23",7,23,9,11,11,24
"24",18,16,29,21,21,21
"25",3,28,21,17,27,13
"26",12,11,11,19,28,29
"27",27,5,13,5,4,19
"28",5,17,28,2,7,16
"29",1,15,7,6,15,7
