"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",7,8,26,7,21,19,26,20,6,25
"2",28,15,28,27,11,23,15,28,4,16
"3",1,17,11,4,12,21,18,6,20,30
"4",10,20,13,29,20,26,1,17,25,23
"5",21,27,23,5,15,29,24,23,27,14
"6",30,7,10,19,24,24,30,15,21,17
"7",25,3,4,12,17,16,12,2,28,24
"8",16,26,6,22,25,15,10,24,2,29
"9",29,23,18,1,27,6,16,14,16,26
"10",9,21,24,13,14,1,11,16,3,1
"11",15,11,25,14,2,30,6,8,14,28
"12",4,4,17,25,26,28,13,11,11,5
"13",17,1,19,3,5,13,21,10,1,12
"14",12,19,30,21,30,18,22,1,18,11
"15",3,14,21,15,28,12,7,29,29,19
"16",2,28,1,28,18,9,20,19,15,13
"17",6,9,7,20,10,7,5,3,5,15
"18",22,2,27,18,19,8,2,21,19,8
"19",18,12,8,23,1,20,17,18,30,2
"20",19,29,15,9,22,22,3,4,8,9
"21",27,25,20,26,9,14,8,7,22,4
"22",14,16,5,8,23,3,27,9,26,6
"23",13,5,16,24,8,2,23,25,23,27
"24",24,10,12,11,29,11,19,26,9,3
"25",23,22,2,17,7,27,25,12,7,21
"26",26,18,9,6,4,4,4,22,12,18
"27",20,13,22,30,16,5,28,5,10,22
"28",11,6,3,2,13,25,9,27,17,10
"29",5,24,14,16,3,17,29,30,13,7
"30",8,30,29,10,6,10,14,13,24,20
