"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",13,13,20,14,1,16,14,18,1,11,16,30,29,2,1,1,30,18,13,1,1,16
"2",10,22,3,10,21,18,21,2,30,12,29,21,27,7,17,20,8,29,6,26,12,15
"3",12,12,8,20,2,15,4,29,23,23,26,22,21,10,25,26,15,7,26,13,26,26
"4",23,11,10,18,30,17,24,9,3,9,12,24,1,20,24,22,21,2,22,25,4,14
"5",18,7,26,26,22,4,2,1,16,1,2,20,18,11,14,16,10,15,24,6,5,27
"6",6,23,13,27,19,22,15,14,12,30,1,29,30,30,22,17,29,12,14,22,22,24
"7",30,16,11,28,18,12,5,13,2,27,18,1,10,9,9,10,6,30,18,30,17,22
"8",4,29,16,4,15,10,22,19,14,10,23,6,3,3,10,29,14,11,29,21,6,25
"9",19,3,21,11,8,6,20,3,5,17,27,9,15,28,19,3,17,13,8,28,24,29
"10",26,25,22,13,5,21,7,24,15,18,3,23,6,8,4,19,12,8,3,27,18,6
"11",8,1,30,25,14,20,12,27,27,15,17,8,16,22,21,28,2,17,16,29,2,4
"12",11,19,5,23,10,30,30,25,10,3,11,15,13,17,2,15,1,19,11,19,30,30
"13",3,4,12,9,24,8,23,26,6,19,6,27,17,5,18,9,7,23,21,14,20,2
"14",15,14,1,3,16,5,1,20,17,29,10,16,2,29,30,4,11,20,7,20,7,12
"15",16,28,18,29,12,13,25,5,20,24,21,25,22,27,6,11,4,3,15,12,8,1
"16",14,20,27,6,25,23,11,6,7,25,15,13,12,4,27,24,3,4,12,3,23,18
"17",29,30,15,12,29,26,19,30,22,21,13,11,19,14,20,8,18,22,2,8,3,28
"18",7,26,24,22,7,29,6,10,9,14,28,19,9,15,26,6,23,26,25,16,10,7
"19",17,21,23,8,27,7,8,28,25,5,22,26,11,26,7,23,26,25,17,17,21,20
"20",21,2,6,7,9,25,10,4,13,22,4,4,23,18,5,27,24,24,20,15,9,17
"21",5,18,9,1,3,3,9,8,21,2,14,10,20,13,15,13,28,1,10,23,19,3
"22",28,27,19,15,11,2,16,16,8,8,9,12,28,24,23,25,9,27,30,9,27,11
"23",1,8,17,16,26,27,3,22,4,7,25,3,25,25,11,14,13,6,4,10,14,13
"24",9,24,7,19,28,14,13,7,28,16,7,5,7,19,3,2,16,14,28,4,25,8
"25",27,6,4,5,6,24,17,15,26,6,19,28,8,23,16,7,5,9,23,5,15,21
"26",22,17,25,21,13,9,28,23,29,13,5,2,26,6,28,5,22,5,19,18,13,19
"27",2,9,28,17,4,11,27,11,24,26,8,18,4,21,12,21,19,28,5,7,16,23
"28",20,5,14,30,17,19,18,12,19,4,20,7,5,1,29,18,25,21,1,11,29,9
"29",25,15,2,24,20,1,29,21,11,20,30,14,14,16,13,30,27,10,9,2,11,5
"30",24,10,29,2,23,28,26,17,18,28,24,17,24,12,8,12,20,16,27,24,28,10
