"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",18,19,22,18,20,6,29,19,7,30,26,2,24,4,12,8,23,2,12,28,1,25,16,14,23,13,21
"2",27,21,8,21,24,4,4,18,22,6,7,7,4,28,16,24,6,4,4,5,20,21,21,12,15,11,12
"3",25,3,20,19,9,29,12,17,20,15,13,26,23,29,11,10,1,18,10,27,5,9,9,29,3,2,14
"4",26,25,28,6,6,19,25,29,14,7,23,18,18,10,6,19,28,9,5,9,15,2,22,15,10,9,2
"5",8,29,23,2,19,16,7,26,18,8,15,4,22,30,3,9,15,12,25,12,14,12,10,2,29,24,29
"6",7,26,14,4,2,9,26,8,19,22,10,12,5,20,21,12,19,3,2,19,8,7,7,25,13,28,10
"7",21,23,12,28,4,2,11,30,29,19,20,29,27,14,23,3,10,10,21,8,9,22,4,13,18,20,18
"8",29,1,2,16,12,18,16,20,9,21,17,1,3,3,10,16,18,21,29,1,13,20,3,19,5,27,4
"9",22,20,7,13,17,26,13,7,27,26,29,9,20,19,2,28,5,23,19,18,7,4,26,9,21,17,3
"10",1,6,21,22,1,13,17,2,17,14,22,6,17,11,15,5,4,5,26,16,24,29,28,3,14,7,6
"11",14,5,6,26,25,22,18,25,21,20,21,27,10,15,4,15,26,7,3,20,22,19,27,27,26,26,22
"12",13,18,9,17,26,28,30,27,6,11,28,19,6,24,27,11,2,1,30,15,28,10,13,17,7,19,16
"13",6,11,1,12,18,7,21,24,10,9,8,30,14,2,19,13,8,22,8,13,4,5,29,6,11,12,28
"14",10,27,17,27,27,5,15,1,25,10,24,10,12,8,13,18,21,26,18,3,11,8,11,28,6,3,23
"15",9,28,4,23,14,24,2,11,4,28,12,25,25,6,9,26,20,6,15,14,29,15,12,7,9,6,11
"16",2,12,10,20,5,12,3,16,12,5,25,14,30,18,5,22,13,28,9,25,27,3,1,18,16,30,19
"17",11,16,3,11,8,25,9,13,28,2,16,3,19,13,29,2,30,15,6,30,19,28,18,20,8,15,30
"18",24,30,11,30,15,20,22,5,2,16,3,15,11,25,14,1,14,25,14,26,12,24,23,4,1,25,20
"19",23,8,18,10,11,14,6,3,3,24,30,17,1,9,25,14,9,14,1,11,16,13,8,10,30,1,26
"20",17,14,26,29,3,30,5,21,8,27,5,5,16,22,20,21,22,17,22,6,21,6,30,24,20,16,24
"21",16,13,27,5,13,1,19,15,26,29,4,16,2,17,1,30,12,11,28,23,26,17,15,21,2,8,27
"22",3,9,24,3,22,15,24,14,23,23,27,23,26,27,24,25,17,20,11,2,18,26,25,11,4,22,17
"23",20,4,30,25,23,8,8,9,11,1,18,21,13,16,26,29,27,13,23,29,6,11,14,5,12,23,9
"24",28,24,19,14,21,23,27,4,16,4,9,24,21,5,18,27,7,16,24,17,23,30,6,26,22,21,25
"25",19,2,16,15,7,10,28,12,30,3,11,22,7,21,7,7,25,30,17,4,30,14,20,1,28,14,15
"26",12,15,29,9,28,17,1,10,13,25,6,20,15,12,8,4,3,29,7,7,2,23,17,22,19,29,8
"27",30,10,15,1,30,3,14,23,1,17,14,13,28,7,30,6,16,19,16,21,25,1,24,30,17,18,7
"28",4,17,25,24,16,27,23,28,24,18,2,11,9,1,28,17,11,27,13,24,17,16,5,8,25,10,1
"29",15,7,5,8,29,21,20,6,15,13,1,8,29,23,22,20,29,8,20,10,3,18,2,16,27,4,13
"30",5,22,13,7,10,11,10,22,5,12,19,28,8,26,17,23,24,24,27,22,10,27,19,23,24,5,5
