"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,1,3,1,2,2,3,4,4,1
"2",3,1,3,1,4,3,1,1,3,2
"3",1,4,3,3,1,3,3,1,1,3
"4",4,1,3,3,4,1,4,3,2,3
"5",3,2,2,4,1,1,3,4,3,4
"6",4,4,3,4,3,2,1,2,3,4
"7",1,2,2,2,4,4,4,2,3,1
"8",4,3,1,3,1,3,4,2,4,2
"9",2,2,4,4,3,3,4,4,1,2
"10",2,1,1,3,3,3,1,3,4,4
"11",2,3,2,1,3,1,1,2,1,3
"12",1,3,4,3,4,2,2,4,4,3
"13",4,4,2,1,3,3,2,4,2,1
"14",2,1,4,2,1,4,2,2,2,4
"15",1,4,1,2,1,1,2,3,3,2
"16",4,2,4,2,1,2,1,3,1,2
"17",3,3,4,2,3,1,3,1,4,1
"18",3,3,1,2,4,4,3,4,1,4
"19",1,2,2,1,2,2,4,1,2,4
"20",4,2,2,4,2,4,2,1,4,3
"21",3,4,4,1,2,4,4,3,3,3
"22",2,4,1,4,4,2,3,1,2,2
"23",3,1,1,3,2,1,2,2,1,1
"24",1,3,3,4,2,4,1,3,2,1
