"","V1","V2","V3","V4","V5","V6","V7"
"1",1,1,3,2,3,2,2
"2",2,1,2,3,2,1,1
"3",3,3,2,1,1,2,1
"4",1,3,2,3,3,3,1
"5",3,1,3,2,1,1,3
"6",1,3,2,2,2,1,3
"7",3,1,1,2,3,2,1
"8",2,1,3,3,2,3,3
"9",2,3,1,2,1,1,1
"10",2,2,2,2,3,3,2
"11",3,2,2,3,1,2,3
"12",3,2,1,1,2,1,2
"13",1,2,1,2,1,3,3
"14",2,2,2,2,2,2,2
"15",1,2,1,3,3,1,3
"16",1,3,3,1,2,2,3
"17",2,2,3,1,3,1,1
"18",3,3,3,3,3,1,2
"19",1,1,1,1,2,3,1
"20",2,3,1,1,3,2,3
"21",1,2,3,3,1,2,1
"22",3,1,2,1,3,3,3
"23",3,2,3,2,2,3,1
"24",3,3,1,3,2,3,2
"25",2,3,3,1,1,3,2
"26",2,1,1,3,1,2,2
"27",1,1,2,1,1,1,2
