"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",2,2,4,1,4,2,4,3,4,1,2,3,2,2,4
"2",1,4,3,4,1,2,4,3,1,3,1,2,2,3,4
"3",4,3,2,1,1,3,1,2,1,4,1,3,1,3,2
"4",2,1,2,1,1,4,4,4,2,2,3,2,3,3,1
"5",4,1,2,3,4,1,3,2,2,3,1,4,3,2,4
"6",1,1,4,1,3,3,3,2,1,4,3,3,4,1,3
"7",4,1,1,2,2,2,1,3,1,1,2,1,4,2,3
"8",4,2,3,4,4,3,4,4,3,3,3,1,4,4,2
"9",3,2,1,2,1,4,4,1,3,4,4,4,2,2,3
"10",1,1,2,2,2,3,2,4,4,3,2,4,1,4,2
"11",2,3,4,4,1,2,1,4,2,3,4,4,4,2,2
"12",4,3,3,3,3,3,4,1,1,2,2,4,2,1,1
"13",2,1,3,4,3,4,1,2,4,4,2,1,2,2,1
"14",3,2,1,4,4,4,2,4,2,2,1,2,1,1,3
"15",3,4,4,1,2,4,2,1,2,3,2,1,3,4,4
"16",4,1,4,3,2,2,2,1,4,2,4,2,1,3,3
"17",3,4,2,4,1,3,2,2,4,1,3,3,3,1,4
"18",2,2,1,4,2,1,3,1,2,1,3,3,1,4,1
"19",2,3,2,2,3,1,4,2,4,2,1,1,4,4,3
"20",1,4,1,3,4,2,2,1,3,4,2,3,4,3,2
"21",4,4,1,1,3,2,3,3,4,3,4,2,3,1,1
"22",1,2,3,2,1,1,1,1,3,2,1,2,3,1,2
"23",3,4,3,1,3,1,1,4,3,1,3,4,2,3,3
"24",2,3,2,3,2,1,3,4,3,4,3,1,1,1,4
"25",1,4,3,2,4,3,3,2,2,1,4,1,1,2,2
"26",3,3,4,3,2,4,3,3,3,1,1,4,4,3,1
"27",3,2,4,2,4,1,2,3,1,4,4,2,2,4,1
"28",1,3,1,3,3,4,1,3,1,2,4,3,3,4,4
