"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,4,2,1,2,1,4,3,2,2,1,4
"2",1,4,4,3,1,3,1,2,3,2,1,3
"3",3,2,2,4,4,4,4,2,3,4,4,3
"4",3,1,1,2,1,4,2,3,4,3,1,2
"5",4,4,3,2,3,4,2,1,2,1,2,3
"6",3,3,1,2,1,1,3,1,1,4,3,3
"7",2,2,4,4,1,4,3,3,2,4,2,1
"8",4,1,3,3,4,1,1,3,2,3,3,4
"9",3,1,4,4,2,2,2,1,1,2,4,2
"10",2,3,3,2,1,1,1,4,1,2,4,2
"11",3,3,4,3,4,2,4,3,1,1,1,2
"12",2,3,3,3,2,4,4,1,4,1,3,1
"13",2,4,4,1,4,3,3,2,2,3,4,1
"14",4,2,4,1,2,1,4,2,4,3,2,2
"15",3,2,4,2,3,4,1,4,3,1,3,4
"16",3,4,2,3,3,2,1,4,4,4,2,1
"17",1,1,2,1,2,3,1,1,2,4,3,2
"18",1,2,1,2,4,2,4,4,2,2,3,1
"19",2,2,3,4,3,2,2,2,1,4,1,4
"20",4,3,1,4,2,3,1,2,2,2,1,1
"21",4,2,2,1,1,2,2,3,3,1,4,1
"22",2,1,1,4,2,1,3,4,3,1,2,3
"23",4,3,2,1,3,4,3,4,1,4,2,2
"24",1,1,3,3,3,1,3,1,3,3,1,1
"25",4,2,1,3,3,3,3,1,4,2,4,4
"26",4,4,3,4,1,3,4,4,3,3,3,3
"27",1,1,2,2,1,3,4,2,1,1,2,4
"28",2,1,3,1,4,3,2,4,4,2,1,3
"29",2,3,1,1,4,2,1,1,3,3,2,4
"30",1,4,2,4,4,1,2,2,4,1,3,2
"31",1,3,4,2,2,2,3,3,4,4,4,4
"32",1,4,1,3,3,4,2,3,1,3,4,3
