"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,2,3,1,4,3,1,4
"2",3,3,4,2,4,4,4,4
"3",4,1,3,2,4,2,2,1
"4",1,1,2,1,2,2,1,2
"5",1,4,4,1,4,1,3,1
"6",2,2,1,4,1,1,2,1
"7",3,2,4,3,3,1,1,2
"8",2,4,2,3,4,4,2,2
"9",3,4,1,1,3,2,2,4
"10",4,4,1,2,2,1,4,2
"11",4,1,1,3,1,4,1,4
"12",1,3,1,2,3,3,1,1
"13",1,2,3,2,1,4,3,2
"14",2,4,4,2,1,2,1,3
"15",3,1,3,1,1,1,4,3
"16",2,3,3,4,3,2,4,2
"17",4,4,3,3,3,3,3,3
"18",3,2,2,2,2,3,2,3
"19",2,3,1,1,2,4,3,3
"20",3,3,2,3,1,2,3,1
"21",4,3,4,1,1,3,2,2
"22",4,2,4,4,2,2,3,4
"23",1,4,2,4,1,3,4,4
"24",4,3,2,4,4,1,1,3
"25",4,2,2,1,3,4,4,1
"26",3,1,1,4,4,3,3,2
"27",2,1,4,3,2,3,4,1
"28",1,3,3,3,2,1,2,4
"29",1,2,1,3,4,2,4,3
"30",2,1,2,2,3,1,3,4
"31",3,4,3,4,2,4,1,1
"32",1,1,4,4,3,4,2,3
