"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",3,4,3,4,2,2,1,4,1,4,3
"2",1,2,3,4,2,3,3,2,4,4,4
"3",1,1,1,2,4,4,4,2,3,2,2
"4",2,3,1,3,4,3,1,4,4,3,4
"5",2,1,4,1,3,1,2,3,4,3,3
"6",2,3,2,3,1,2,4,1,4,1,1
"7",3,1,1,1,2,2,3,3,4,1,3
"8",2,2,4,4,4,3,3,3,1,2,1
"9",2,4,3,1,4,1,3,4,2,1,2
"10",3,3,4,2,1,1,1,2,2,2,4
"11",4,4,4,3,3,2,4,3,4,2,4
"12",1,3,3,4,3,1,1,2,3,2,1
"13",3,4,3,2,1,4,2,3,4,3,1
"14",2,4,4,3,4,4,2,2,2,4,2
"15",4,3,2,2,4,4,3,4,1,3,3
"16",4,2,2,4,1,1,2,4,4,2,2
"17",3,1,2,2,3,3,1,4,3,1,1
"18",2,2,3,1,1,4,4,4,2,2,4
"19",1,4,2,1,2,4,1,1,3,2,3
"20",2,4,1,2,2,1,3,1,3,4,4
"21",4,3,4,1,2,3,3,1,3,3,1
"22",4,1,3,3,2,1,4,2,1,3,1
"23",1,2,2,3,4,1,2,3,1,1,4
"24",1,1,4,3,1,2,3,4,3,3,3
"25",3,2,2,4,4,1,4,1,2,3,3
"26",1,3,4,2,3,3,4,1,1,1,3
"27",4,1,2,1,3,3,2,2,2,4,4
"28",4,4,1,4,1,3,3,2,2,1,3
"29",3,3,1,4,3,4,4,3,3,4,2
"30",4,2,4,3,2,4,1,3,2,1,2
"31",1,3,2,1,1,2,4,3,1,4,2
"32",4,2,3,2,4,2,1,1,4,4,2
"33",1,2,1,2,2,2,2,4,2,4,1
"34",3,1,3,4,3,4,2,1,3,1,4
"35",2,1,1,3,1,3,1,1,1,3,2
"36",3,4,1,1,3,2,2,2,1,2,1
