"","V1","V2","V3","V4"
"1",1,1,3,2
"2",2,3,1,3
"3",1,2,1,1
"4",2,3,2,2
"5",1,3,2,1
"6",3,2,2,2
"7",3,2,1,3
"8",3,1,2,1
"9",3,1,3,1
"10",1,1,2,1
"11",2,3,3,1
"12",2,1,3,2
"13",2,3,1,1
"14",2,1,3,3
"15",1,2,3,1
"16",3,1,2,3
"17",3,3,1,2
"18",3,3,3,1
"19",2,2,3,3
"20",2,2,2,2
"21",2,2,2,1
"22",1,2,3,2
"23",1,1,1,2
"24",1,1,2,3
"25",3,3,3,2
"26",3,1,1,2
"27",3,2,3,3
"28",2,1,1,3
"29",1,2,1,3
"30",1,3,3,3
"31",3,2,1,1
"32",2,2,2,2
"33",3,3,2,3
"34",1,3,2,3
"35",2,1,1,1
"36",1,3,1,2
