"","V1","V2","V3","V4","V5"
"1",6,3,6,5,2
"2",1,5,2,5,6
"3",5,4,5,3,6
"4",5,5,3,1,2
"5",6,6,5,4,4
"6",3,2,2,2,2
"7",2,3,2,6,3
"8",4,4,1,4,2
"9",3,1,5,6,2
"10",6,1,4,2,1
"11",1,6,6,3,2
"12",2,4,5,1,1
"13",1,1,3,1,3
"14",6,2,3,6,6
"15",4,2,5,5,3
"16",5,2,6,1,4
"17",4,3,3,3,1
"18",4,6,4,1,6
"19",3,3,1,1,6
"20",4,1,2,3,4
"21",6,4,2,2,5
"22",5,1,1,5,5
"23",3,4,3,5,4
"24",4,5,6,6,5
"25",1,4,4,6,4
"26",5,6,2,6,1
"27",2,6,1,2,4
"28",5,3,4,4,3
"29",3,6,3,4,5
"30",2,2,4,3,5
"31",2,5,4,5,1
"32",1,3,5,2,5
"33",2,1,6,4,6
"34",3,5,6,2,3
"35",6,5,1,3,3
"36",1,2,1,4,1
