"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,3,1,2,3,2,2,3,3
"2",1,1,2,3,2,1,2,2,1
"3",1,3,1,3,2,3,3,3,2
"4",1,2,1,2,1,1,1,3,1
"5",1,3,2,1,3,2,1,3,1
"6",1,1,1,1,2,2,2,3,3
"7",2,2,3,1,2,1,3,2,2
"8",2,2,2,2,2,2,1,2,2
"9",2,3,2,1,1,3,1,1,3
"10",3,2,3,3,2,3,3,1,3
"11",1,2,1,2,1,3,2,2,3
"12",3,1,2,3,2,3,1,3,2
"13",3,2,1,3,1,1,2,1,2
"14",1,2,3,3,3,1,2,3,2
"15",2,2,2,1,3,3,3,3,3
"16",2,3,1,1,1,2,2,1,1
"17",1,2,1,1,3,1,3,1,2
"18",1,3,3,2,1,1,3,2,3
"19",1,1,3,3,1,2,1,1,2
"20",3,3,3,1,3,3,2,2,2
"21",2,3,1,3,3,1,1,2,3
"22",3,1,3,2,3,2,3,3,1
"23",3,2,2,3,1,2,1,2,1
"24",2,3,3,3,1,3,2,3,1
"25",3,3,2,2,1,2,3,2,2
"26",2,3,3,3,3,2,3,1,1
"27",1,1,3,2,3,3,1,2,3
"28",2,1,2,3,1,1,3,3,3
"29",2,2,2,2,3,2,2,2,2
"30",3,3,3,2,2,1,1,1,2
"31",2,1,1,2,2,2,3,1,3
"32",3,3,2,1,2,1,3,3,1
"33",3,2,1,2,3,3,1,1,1
"34",2,1,1,2,2,1,1,3,2
"35",3,1,2,1,3,1,2,1,3
"36",1,1,2,2,1,3,3,1,1
"37",1,2,3,1,2,3,2,2,1
"38",3,2,3,1,1,2,1,3,3
"39",2,1,1,3,3,3,2,2,1
"40",3,1,1,1,1,3,3,2,2
"41",2,1,3,1,2,1,1,1,1
"42",1,3,2,3,2,2,2,1,3
