"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",3,2,1,4,1,2,2,3,3,1,4,4,4
"2",2,2,2,1,1,3,4,4,1,1,3,3,1
"3",1,4,3,1,4,4,2,1,2,4,3,2,2
"4",4,3,1,2,4,3,3,1,3,2,4,4,1
"5",3,1,2,4,4,2,4,3,4,2,2,1,1
"6",2,3,4,1,4,2,4,2,1,3,2,2,4
"7",3,4,2,4,1,3,1,2,2,2,3,1,1
"8",1,3,2,4,3,3,4,1,4,1,4,2,3
"9",2,4,3,4,4,1,2,4,3,1,2,3,1
"10",3,2,4,4,2,4,3,1,1,2,3,4,3
"11",2,1,3,4,2,2,1,4,2,4,1,2,3
"12",3,4,4,1,3,3,2,2,4,1,2,4,4
"13",4,1,3,1,1,4,4,2,3,2,2,2,3
"14",1,4,4,2,2,2,1,3,1,2,4,3,3
"15",4,2,4,3,4,4,1,2,3,1,1,3,2
"16",4,3,3,2,1,1,2,3,1,4,2,4,1
"17",3,1,4,2,4,1,4,3,2,4,4,3,2
"18",2,3,2,2,1,4,1,1,2,3,1,4,4
"19",1,1,2,4,3,3,2,2,1,4,1,3,1
"20",3,2,3,1,3,1,2,1,1,2,1,1,2
"21",1,1,3,3,2,1,4,2,2,2,3,4,4
"22",1,1,2,2,1,2,1,1,4,1,2,3,2
"23",2,2,3,3,4,3,1,2,4,3,4,1,4
"24",4,4,2,3,2,2,3,2,1,1,1,2,4
"25",1,2,2,2,4,1,3,4,3,2,1,2,4
"26",3,2,1,1,2,4,1,2,3,4,2,2,1
"27",2,4,1,3,2,4,4,3,3,4,3,3,4
"28",1,4,2,1,1,1,3,2,3,4,4,1,3
"29",4,4,3,4,2,2,4,1,4,3,1,3,2
"30",1,3,1,3,2,4,2,4,4,2,2,1,2
"31",3,2,1,2,2,2,4,1,1,3,4,1,2
"32",3,3,4,2,1,3,2,4,4,4,1,3,3
"33",1,3,1,1,3,2,3,3,2,1,1,4,2
"34",2,3,4,3,1,1,2,1,2,1,4,2,1
"35",4,3,3,4,3,4,3,4,1,4,4,2,2
"36",4,3,1,4,4,1,1,2,2,3,3,3,3
"37",4,3,3,2,2,1,3,4,4,1,3,1,3
"38",3,4,2,3,4,3,4,4,1,3,2,4,3
"39",1,2,4,4,1,3,3,3,2,3,2,1,4
"40",1,2,4,3,3,2,1,4,3,3,3,4,1
"41",2,1,3,1,2,4,3,3,4,3,4,4,1
"42",4,1,1,3,1,3,3,4,2,3,1,2,2
"43",4,1,4,3,3,2,2,1,3,4,3,1,4
"44",3,4,1,1,3,1,1,3,4,3,3,2,2
"45",4,1,2,1,3,3,1,4,2,2,4,3,4
"46",2,4,4,2,3,4,4,3,3,2,1,1,1
"47",2,2,1,3,3,1,3,1,4,4,2,4,3
"48",2,1,1,2,4,4,2,3,1,1,3,1,3
