"","V1","V2","V3"
"1",1,1,1
"2",1,2,2
"3",3,2,2
"4",2,2,3
"5",2,3,2
"6",3,2,3
"7",1,1,2
"8",2,3,2
"9",3,1,2
"10",3,3,3
"11",1,2,3
"12",2,1,3
"13",2,1,1
"14",3,2,1
"15",2,2,3
"16",3,2,2
"17",1,2,1
"18",2,1,1
"19",1,1,2
"20",3,3,2
"21",2,3,1
"22",1,2,1
"23",1,3,3
"24",3,2,1
"25",3,2,1
"26",2,1,2
"27",2,2,3
"28",1,3,3
"29",2,1,1
"30",3,3,1
"31",2,3,3
"32",3,1,3
"33",2,1,3
"34",3,1,3
"35",2,2,1
"36",1,1,3
"37",3,3,2
"38",1,1,2
"39",1,3,1
"40",3,1,2
"41",3,1,1
"42",2,3,2
"43",1,2,3
"44",1,3,2
"45",1,2,2
"46",3,3,3
"47",1,3,1
"48",2,3,1
