"","V1","V2","V3","V4","V5","V6"
"1",1,2,2,3,1,3
"2",2,1,1,1,3,2
"3",2,2,2,2,2,2
"4",2,3,1,2,3,1
"5",2,3,3,1,1,1
"6",1,1,2,3,3,1
"7",1,3,1,1,1,2
"8",1,3,2,2,1,1
"9",2,2,2,2,2,2
"10",1,2,3,1,3,1
"11",1,1,1,2,1,1
"12",3,1,2,2,3,3
"13",3,3,3,2,1,3
"14",1,3,3,2,2,3
"15",1,3,3,3,2,1
"16",3,3,1,3,1,2
"17",1,2,1,1,2,1
"18",2,3,3,3,3,2
"19",3,1,3,3,1,1
"20",3,1,1,3,2,3
"21",3,2,2,1,1,1
"22",2,2,1,3,1,1
"23",2,3,2,3,1,3
"24",3,2,1,1,1,3
"25",3,1,3,1,2,2
"26",2,3,1,1,2,3
"27",3,3,3,1,2,2
"28",3,3,2,1,3,3
"29",1,1,1,3,2,2
"30",1,1,3,1,1,3
"31",3,2,3,3,2,3
"32",2,1,3,2,2,1
"33",2,1,1,2,1,3
"34",3,2,1,3,3,2
"35",3,3,2,3,3,1
"36",1,3,2,1,3,2
"37",1,1,2,1,2,3
"38",3,3,1,2,2,1
"39",1,1,3,2,3,2
"40",2,1,2,1,1,2
"41",1,2,1,2,3,3
"42",2,1,3,3,3,3
"43",1,3,1,3,3,3
"44",3,2,3,2,3,1
"45",3,1,2,2,1,2
"46",1,2,3,3,1,2
"47",2,2,2,2,2,2
"48",2,2,2,3,2,1
"49",3,1,1,1,3,1
"50",2,2,3,1,3,3
"51",2,2,2,2,2,2
