"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",5,4,3,1,4,1,2,6,1,5,1,4,5,4,2,2,2
"2",5,1,4,5,2,6,3,1,4,3,6,4,6,2,4,5,1
"3",2,2,6,3,2,4,1,1,1,6,2,3,2,5,3,2,4
"4",6,5,2,1,3,2,4,2,1,2,6,1,3,5,2,3,4
"5",1,2,2,2,5,6,3,4,5,5,4,4,1,1,2,1,4
"6",1,5,6,1,4,2,1,3,4,3,4,6,5,1,3,5,6
"7",4,3,1,4,6,2,3,4,1,6,6,6,4,6,4,4,1
"8",1,5,5,1,2,4,3,5,2,4,3,1,4,6,5,1,5
"9",2,5,1,2,4,3,6,5,2,2,1,5,1,2,3,4,5
"10",1,1,2,5,3,3,1,5,3,4,5,5,6,5,3,2,2
"11",6,3,4,2,6,3,5,5,3,2,2,2,6,5,6,6,3
"12",6,1,3,3,1,4,6,2,2,5,3,6,3,1,2,4,2
"13",1,3,6,6,1,5,5,4,6,1,3,5,4,3,2,3,5
"14",3,6,1,4,3,4,2,6,3,5,6,3,1,1,6,5,4
"15",6,1,5,5,4,3,3,4,1,4,6,3,2,3,1,6,6
"16",5,1,6,3,3,1,3,4,2,1,4,6,1,5,6,3,5
"17",2,6,4,5,6,2,3,6,5,1,2,3,3,5,4,2,6
"18",1,3,4,6,5,1,2,3,2,2,3,2,1,4,1,4,1
"19",3,2,5,5,6,2,6,2,3,4,2,5,5,2,1,1,4
"20",6,4,2,3,2,5,5,6,5,4,6,5,5,3,5,2,6
"21",4,4,2,1,1,3,1,2,3,5,2,5,1,3,4,6,6
"22",6,6,6,4,3,1,5,1,4,5,3,4,6,6,3,4,5
"23",1,4,5,4,2,3,6,1,1,1,4,4,5,4,5,6,2
"24",4,2,1,3,6,3,1,1,4,1,5,4,4,4,1,1,5
"25",3,1,2,4,2,5,2,3,3,2,1,1,5,6,2,5,5
"26",5,6,5,1,6,5,3,2,4,1,1,3,3,3,3,5,1
"27",6,3,6,1,5,4,2,1,6,4,5,5,1,4,5,4,3
"28",2,4,1,3,6,6,5,1,3,4,4,2,2,6,4,6,2
"29",2,2,5,5,3,6,2,6,4,6,1,6,3,3,6,4,3
"30",4,6,5,4,5,5,6,5,2,3,5,4,2,6,2,3,6
"31",4,3,5,2,2,1,2,5,5,6,5,2,3,2,2,6,5
"32",2,4,6,2,5,1,5,3,3,5,6,3,4,2,6,2,1
"33",5,5,6,3,1,4,3,6,3,2,4,2,5,2,1,1,2
"34",2,6,4,2,1,6,4,3,2,6,5,5,4,5,1,5,3
"35",3,5,6,5,1,2,6,4,5,4,1,1,1,4,4,5,2
"36",4,4,4,4,3,6,4,1,6,3,1,2,1,2,1,2,6
"37",5,4,2,5,4,1,6,3,6,1,5,3,5,1,2,5,3
"38",5,3,3,6,1,3,6,3,4,6,5,2,1,6,5,1,4
"39",4,2,5,2,4,4,4,3,6,2,1,6,6,6,4,1,2
"40",6,1,2,4,5,2,1,5,4,3,3,1,2,2,5,2,2
"41",1,6,2,3,3,3,5,4,4,6,2,1,6,3,1,3,1
"42",6,3,1,5,2,6,4,5,3,1,2,4,2,4,3,1,1
"43",4,2,6,4,5,5,4,6,2,5,2,1,4,1,3,6,3
"44",2,1,4,2,6,4,6,6,6,3,6,1,5,4,3,4,4
"45",1,1,3,3,5,1,4,2,6,5,1,4,3,5,5,5,5
"46",2,3,1,2,1,2,3,1,5,4,2,2,6,1,5,3,3
"47",3,4,5,6,4,6,1,2,5,5,6,2,5,5,2,3,2
"48",4,5,4,6,6,3,4,5,6,6,4,5,2,1,5,3,1
"49",5,5,3,5,6,5,2,2,2,6,4,1,6,3,4,2,5
"50",4,6,3,2,1,5,1,4,6,2,4,3,3,6,6,4,1
"51",3,2,1,6,1,1,4,6,1,3,4,3,6,3,4,4,6
"52",1,3,3,6,4,4,4,2,4,2,5,1,3,2,6,6,6
"53",2,5,3,4,2,1,2,2,6,2,6,6,2,3,3,1,3
"54",3,1,4,1,3,5,5,4,1,1,5,2,2,1,4,2,3
"55",3,4,3,3,5,6,1,5,1,1,3,6,6,2,5,5,4
"56",6,6,4,6,2,2,1,3,2,3,1,4,4,1,6,3,4
"57",3,6,2,6,4,5,5,1,1,3,3,6,3,4,6,1,3
"58",5,2,1,1,4,6,6,3,5,6,3,3,4,4,6,3,6
"59",3,2,3,1,3,2,5,6,5,3,3,5,2,6,1,6,1
"60",5,5,1,6,5,4,2,4,5,4,2,6,4,5,1,6,4
