"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,1,4,2,1,3,4,1,2,1,1,2
"2",1,4,3,3,3,1,3,2,1,2,1,1
"3",1,2,2,1,4,3,1,3,3,1,1,3
"4",2,1,3,1,2,3,3,4,4,4,2,1
"5",3,2,1,3,4,2,2,4,2,4,1,1
"6",1,2,1,4,2,4,4,3,4,3,3,2
"7",4,4,2,4,1,2,3,4,3,3,1,3
"8",4,1,2,3,3,4,3,2,4,2,4,4
"9",2,4,4,1,3,4,2,4,2,2,4,2
"10",1,3,2,2,4,2,4,1,3,3,4,1
"11",3,2,3,3,2,1,4,4,2,1,4,3
"12",2,2,4,4,1,2,1,2,3,2,4,1
"13",4,2,3,1,4,4,4,2,1,3,2,3
"14",1,1,2,2,1,2,2,4,1,2,3,4
"15",4,1,4,2,3,1,1,3,3,4,3,2
"16",4,3,1,1,1,1,3,1,2,2,3,2
"17",2,3,4,4,4,3,3,3,1,4,3,4
"18",2,4,1,2,3,2,4,3,4,1,2,4
"19",1,3,3,3,1,4,2,1,3,4,2,4
"20",3,4,1,2,2,3,1,2,1,4,4,3
"21",4,3,2,3,2,4,1,3,1,1,2,1
"22",3,3,4,1,2,1,2,2,4,3,1,4
"23",3,4,3,4,4,3,2,1,4,1,3,2
"24",2,1,1,4,3,1,1,1,2,3,2,3
