"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",6,4,1,5,6,4,5,5,3
"2",2,3,4,5,1,5,6,5,5
"3",2,2,6,3,5,2,2,5,2
"4",5,6,2,3,3,6,6,2,2
"5",1,6,4,2,6,4,1,3,3
"6",4,5,6,5,2,4,1,4,1
"7",1,3,2,6,2,2,5,3,2
"8",6,2,6,1,4,6,4,3,4
"9",4,2,1,2,1,1,4,2,3
"10",3,4,5,1,1,5,3,1,2
"11",6,5,3,3,1,3,2,3,6
"12",1,1,5,3,3,4,5,1,6
"13",4,4,6,4,6,2,6,2,5
"14",6,3,4,4,4,1,2,1,1
"15",1,5,3,4,4,6,4,6,1
"16",3,1,3,1,5,3,6,4,1
"17",4,3,2,2,6,5,3,6,6
"18",5,2,3,6,5,5,1,2,5
"19",3,6,5,6,4,1,4,4,6
"20",5,1,5,6,3,3,3,6,3
"21",2,4,2,1,3,1,1,5,5
"22",5,6,4,2,2,2,5,6,4
"23",3,1,1,4,2,6,2,4,4
"24",2,5,1,5,5,3,3,1,4
