"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,2,3,1,3,3,2,2,3,1,3
"2",1,1,3,2,3,1,1,1,2,2,2
"3",1,3,3,2,2,3,1,2,2,3,1
"4",2,2,3,2,1,1,3,3,1,3,1
"5",1,2,1,2,2,1,3,1,3,1,2
"6",1,2,2,1,2,1,1,2,1,3,3
"7",2,3,3,3,2,1,1,3,1,1,2
"8",2,1,2,3,1,1,3,2,2,1,3
"9",3,2,1,3,2,2,3,2,1,2,3
"10",3,1,3,2,2,2,2,3,3,3,3
"11",3,1,2,2,3,2,1,2,1,1,2
"12",1,2,2,3,3,2,2,1,1,1,1
"13",1,1,2,3,1,3,2,3,1,2,2
"14",3,3,1,2,1,3,2,2,1,2,1
"15",1,3,3,3,1,2,3,2,3,3,2
"16",3,2,3,1,1,2,1,1,2,1,1
"17",3,1,1,3,2,1,2,1,2,3,1
"18",2,3,1,1,3,2,2,1,1,3,2
"19",1,1,1,1,3,2,3,3,2,2,1
"20",3,2,3,3,3,3,3,2,3,2,1
"21",2,1,2,1,1,3,2,1,3,3,2
"22",3,3,2,1,2,3,3,3,2,1,2
"23",2,1,3,1,2,3,3,1,1,2,3
"24",2,3,2,3,1,2,1,1,3,2,3
"25",3,2,1,1,1,1,1,3,3,2,2
"26",2,2,1,3,3,3,1,3,2,3,3
"27",2,1,1,2,2,3,1,2,3,1,1
"28",1,3,1,2,1,2,2,3,2,1,3
"29",3,3,2,2,3,1,3,1,2,3,3
"30",2,3,2,1,3,1,2,3,3,2,1
