"","V1","V2","V3","V4","V5","V6","V7"
"1",4,1,3,2,2,1,1
"2",4,2,1,1,4,1,4
"3",3,2,4,1,1,2,2
"4",2,4,3,3,2,3,2
"5",4,4,1,2,1,4,3
"6",1,4,1,1,2,2,1
"7",3,3,2,1,2,3,4
"8",2,4,4,1,3,1,3
"9",1,1,3,1,1,3,3
"10",1,2,2,4,2,1,3
"11",2,1,2,1,4,4,1
"12",3,1,1,4,2,4,2
"13",3,4,4,2,4,3,1
"14",3,3,1,3,3,1,1
"15",4,3,3,1,3,4,2
"16",3,1,2,2,3,2,3
"17",2,1,1,3,1,2,4
"18",4,2,2,3,1,3,1
"19",2,2,3,4,3,2,1
"20",1,1,4,3,4,1,2
"21",4,1,4,4,3,3,4
"22",2,3,2,2,1,1,2
"23",2,2,4,2,2,4,4
"24",1,3,4,4,1,4,1
"25",1,2,1,2,3,3,2
"26",2,3,1,4,4,3,3
"27",3,4,3,4,1,1,4
"28",1,3,3,2,4,2,4
"29",4,4,2,4,4,2,2
"30",4,3,4,3,2,2,3
"31",1,4,2,3,3,4,4
"32",3,2,3,3,4,4,3
