"","V1","V2","V3","V4","V5"
"1",3,1,1,2,2
"2",3,2,2,1,3
"3",2,2,1,3,1
"4",3,1,3,1,2
"5",3,2,3,2,1
"6",2,1,2,1,1
"7",1,1,2,1,2
"8",3,3,2,3,1
"9",1,3,2,1,3
"10",2,2,3,1,3
"11",3,3,2,1,2
"12",1,1,2,3,2
"13",3,2,3,3,2
"14",1,2,2,3,1
"15",1,1,1,2,1
"16",1,2,1,2,3
"17",2,3,1,2,1
"18",2,1,1,3,3
"19",2,1,3,3,1
"20",2,3,1,1,2
"21",2,3,3,1,1
"22",2,3,3,3,2
"23",3,3,3,2,3
"24",3,2,1,3,2
"25",1,3,2,2,1
"26",3,1,2,2,1
"27",1,1,3,2,3
"28",3,3,1,2,3
"29",2,2,2,2,3
"30",1,3,3,2,2
"31",1,2,3,1,1
"32",2,3,2,3,3
"33",2,1,1,1,3
"34",1,2,3,3,3
"35",1,3,1,3,2
"36",1,2,1,1,2
"37",3,1,2,3,3
"38",3,2,1,1,1
"39",2,1,3,2,2
