"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",3,3,3,3,3,2,2,3,1,2,1,1,2
"2",2,3,1,1,2,1,3,3,2,3,1,2,1
"3",1,1,3,2,1,1,2,3,2,1,2,1,2
"4",2,1,3,1,3,2,1,1,1,3,2,2,1
"5",1,1,1,1,1,3,2,1,3,2,2,2,3
"6",2,2,3,2,1,2,3,3,1,3,3,2,3
"7",2,3,3,3,3,3,1,1,2,2,3,1,2
"8",1,2,2,1,3,1,2,3,3,3,3,3,2
"9",3,1,1,2,2,2,2,3,2,3,1,3,3
"10",2,1,1,1,1,1,1,2,1,2,3,3,2
"11",2,2,3,1,3,1,2,1,3,1,1,2,1
"12",3,3,3,3,2,1,2,1,1,3,2,3,2
"13",1,2,3,2,3,1,3,2,2,2,1,3,3
"14",2,3,2,2,1,3,2,3,3,1,1,1,3
"15",3,1,3,2,1,1,2,2,3,3,3,1,1
"16",1,2,3,1,2,3,3,1,2,1,2,1,2
"17",3,1,3,1,2,2,3,3,3,1,2,3,2
"18",3,3,2,2,3,1,2,2,1,1,3,2,1
"19",3,3,1,3,1,1,1,3,2,2,2,2,3
"20",3,2,2,1,1,3,1,2,2,3,3,3,2
"21",2,1,2,3,3,3,1,3,3,3,2,2,2
"22",3,2,1,2,3,3,2,1,2,2,2,3,1
"23",1,2,2,3,2,2,2,1,1,3,3,1,1
"24",3,3,2,2,2,3,3,1,3,2,3,3,3
"25",2,3,1,1,3,2,3,2,1,1,2,3,3
"26",3,1,2,2,3,2,1,1,2,1,3,2,3
"27",1,3,1,2,2,1,1,1,2,3,2,1,3
"28",2,2,1,3,1,1,3,1,3,1,3,2,2
"29",1,1,1,2,3,3,3,3,1,2,3,2,2
"30",2,1,2,3,3,1,3,3,2,2,2,1,1
"31",2,3,2,2,1,2,1,1,3,1,2,3,1
"32",3,3,3,1,1,2,1,2,3,2,1,2,2
"33",1,1,1,2,3,2,1,2,3,1,1,1,2
"34",1,3,1,3,2,2,2,3,2,1,3,3,1
"35",1,2,2,3,2,1,1,2,1,1,1,2,3
"36",1,3,3,3,2,3,3,2,3,3,2,2,1
"37",3,1,2,1,2,1,3,1,1,2,1,1,3
"38",2,1,3,3,2,3,2,2,1,1,3,3,3
"39",1,1,2,3,1,2,3,1,2,3,1,3,2
"40",2,2,3,1,2,2,1,3,3,2,3,1,3
"41",1,3,2,1,3,3,2,2,2,3,1,2,3
"42",3,2,1,1,2,3,1,3,1,1,2,1,1
"43",3,1,2,3,1,3,3,2,2,1,1,2,1
"44",2,2,1,2,1,3,2,1,1,3,1,1,2
"45",2,2,1,3,2,1,1,2,3,2,1,3,1
"46",1,2,3,2,1,3,1,3,1,2,1,3,1
"47",1,3,2,1,1,2,3,2,1,2,3,1,1
"48",3,2,1,3,3,2,3,2,3,3,2,1,3
