"","V1","V2","V3"
"1",2,2,2
"2",3,1,3
"3",3,3,1
"4",3,3,4
"5",2,2,1
"6",1,2,3
"7",4,3,3
"8",2,3,4
"9",1,4,3
"10",4,1,4
"11",2,4,3
"12",3,1,2
"13",4,3,3
"14",3,4,3
"15",3,2,4
"16",1,2,2
"17",2,3,4
"18",4,3,1
"19",4,4,1
"20",4,4,4
"21",4,2,4
"22",1,3,2
"23",4,4,2
"24",2,2,3
"25",3,2,1
"26",2,4,1
"27",2,1,4
"28",1,2,4
"29",1,1,2
"30",1,4,4
"31",3,4,2
"32",3,1,3
"33",2,1,1
"34",4,2,3
"35",1,1,4
"36",1,4,1
"37",2,1,3
"38",2,3,2
"39",3,4,4
"40",1,1,1
"41",3,3,2
"42",1,3,3
"43",2,4,2
"44",4,2,2
"45",1,3,1
"46",3,2,1
"47",4,1,2
"48",4,1,1
