"","V1","V2","V3","V4"
"1",1,3,3,3
"2",3,4,2,2
"3",3,2,2,1
"4",1,3,2,2
"5",4,3,1,1
"6",4,1,1,4
"7",2,1,2,1
"8",2,3,1,4
"9",3,3,4,4
"10",1,1,4,4
"11",3,1,1,1
"12",1,1,1,3
"13",3,4,1,3
"14",4,1,3,3
"15",1,3,4,1
"16",3,3,3,1
"17",2,1,3,4
"18",4,3,2,4
"19",2,1,4,1
"20",2,2,4,3
"21",1,2,1,2
"22",1,2,3,3
"23",4,2,2,3
"24",3,3,4,2
"25",2,4,1,3
"26",3,4,3,4
"27",2,4,3,1
"28",3,3,1,4
"29",3,1,4,2
"30",1,4,4,3
"31",1,2,3,1
"32",4,2,1,2
"33",1,4,2,4
"34",1,2,2,4
"35",2,4,3,4
"36",2,2,1,3
"37",4,4,4,1
"38",3,1,2,3
"39",3,2,2,4
"40",3,2,4,2
"41",4,4,3,3
"42",4,3,4,3
"43",2,1,2,2
"44",4,2,3,1
"45",2,3,1,2
"46",2,3,2,1
"47",2,4,4,2
"48",1,4,1,1
"49",4,4,2,2
"50",4,1,3,2
"51",4,2,4,4
"52",1,1,3,2
