"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",3,6,5,5,6,6,4,4,6,1,4,4,2,4,6
"2",6,1,3,1,5,3,3,5,4,1,3,5,1,2,5
"3",3,6,4,4,3,2,1,6,2,2,2,5,5,2,6
"4",4,3,3,4,3,6,6,5,5,1,2,2,6,1,2
"5",5,5,6,6,4,3,6,2,5,2,1,2,3,5,5
"6",5,4,3,5,5,5,1,6,2,4,5,2,3,1,6
"7",3,2,2,1,4,4,2,4,1,6,1,1,5,1,3
"8",5,4,1,1,6,4,6,3,5,5,4,2,1,4,2
"9",4,1,3,3,1,4,2,5,1,3,4,6,3,6,1
"10",1,1,1,5,6,4,5,3,3,3,3,4,5,1,6
"11",6,1,4,5,3,1,3,3,4,5,2,1,3,2,1
"12",1,1,6,4,4,5,5,2,4,4,5,2,4,6,2
"13",2,5,3,5,5,6,3,1,1,5,3,2,4,5,1
"14",6,4,4,1,3,6,4,2,3,6,3,6,2,5,6
"15",2,2,2,4,6,3,3,2,6,2,5,3,2,1,1
"16",6,5,1,3,1,1,3,4,6,3,1,4,4,1,4
"17",6,3,4,6,4,4,1,3,1,1,2,4,1,5,2
"18",4,6,2,3,5,1,4,6,3,2,2,1,2,6,2
"19",1,5,2,1,4,5,3,5,2,2,6,5,4,5,5
"20",1,1,2,2,2,6,4,1,5,4,2,3,1,3,4
"21",2,4,1,2,2,6,1,6,3,5,4,4,6,3,2
"22",3,4,6,6,4,1,4,3,2,6,4,4,6,1,1
"23",4,6,1,6,6,3,2,1,3,6,2,5,3,3,4
"24",2,4,1,6,3,4,5,5,1,1,5,1,2,3,4
"25",6,2,5,2,6,5,5,6,2,3,1,3,4,4,1
"26",4,2,3,4,4,1,5,1,2,3,6,1,1,4,6
"27",5,3,6,5,2,3,5,6,3,2,4,6,1,1,3
"28",4,4,3,1,6,1,2,2,4,4,1,3,6,6,6
"29",2,2,4,1,1,1,6,6,5,3,5,4,3,5,4
"30",5,2,6,4,2,6,3,3,1,2,6,3,6,3,5
"31",4,6,2,4,1,5,6,2,2,5,1,4,2,2,3
"32",5,5,6,2,1,3,4,5,1,4,3,1,5,5,3
"33",5,2,5,3,5,2,1,1,6,6,3,4,5,4,2
"34",2,1,5,6,1,1,1,2,3,1,3,3,4,3,3
"35",6,6,4,3,4,6,2,2,6,3,4,1,6,2,4
"36",4,6,6,1,3,5,1,4,4,3,6,3,1,3,1
"37",1,3,1,4,4,2,5,5,4,6,1,5,2,5,1
"38",6,4,2,5,1,5,4,1,4,2,5,5,5,4,1
"39",1,6,3,3,1,3,5,3,4,6,6,2,5,2,5
"40",3,6,4,2,5,4,6,1,3,1,6,4,5,6,3
"41",6,3,2,6,2,2,6,4,2,5,4,3,4,6,6
"42",2,2,4,3,3,3,6,1,1,3,1,6,6,4,5
"43",3,1,6,3,6,3,1,3,2,5,5,5,2,6,4
"44",6,5,5,4,6,1,5,5,4,5,5,6,6,3,4
"45",3,5,3,1,2,2,5,3,6,1,2,6,4,3,1
"46",2,3,6,2,4,4,4,6,6,5,2,1,4,3,6
"47",5,5,3,4,2,3,2,6,6,6,6,3,2,5,3
"48",1,4,6,3,5,6,2,4,4,1,1,6,3,2,3
"49",3,3,1,3,2,5,1,2,6,2,3,1,3,6,5
"50",1,6,5,5,2,4,3,4,5,4,2,5,6,6,2
"51",2,5,5,2,5,2,6,4,1,4,3,3,1,1,5
"52",4,3,5,2,1,4,2,1,5,5,5,5,4,1,6
"53",5,1,1,2,3,2,2,4,3,1,5,2,6,5,4
"54",5,3,1,2,5,2,4,2,1,4,6,6,3,2,2
"55",1,3,4,6,6,2,2,5,5,3,6,1,5,4,3
"56",1,4,5,1,2,2,3,1,2,2,4,2,2,2,2
"57",2,5,2,5,3,1,1,3,5,4,4,6,1,4,5
"58",3,2,5,5,1,5,3,5,3,6,1,2,1,4,5
"59",4,2,2,6,5,6,4,6,5,4,3,6,5,6,4
"60",3,1,4,6,3,5,6,4,6,6,6,5,3,2,3
