"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",5,6,2,1,6,5,4,4,6,5,6,2,3,3,3,5,3,6
"2",2,6,4,3,5,2,5,4,1,5,4,2,2,5,6,3,6,1
"3",4,5,5,6,1,2,4,2,2,6,1,5,2,4,3,2,2,2
"4",1,5,1,2,6,2,2,2,2,3,3,4,1,6,1,4,4,4
"5",1,4,1,6,4,6,6,5,1,4,3,2,4,5,5,2,3,5
"6",6,3,4,1,4,1,2,3,4,2,6,6,2,2,2,4,6,2
"7",6,2,2,5,3,6,1,1,3,4,5,2,2,5,2,5,5,3
"8",4,2,5,4,6,3,6,6,2,2,5,5,3,6,5,5,6,4
"9",4,3,4,5,4,5,5,2,3,6,6,4,6,6,6,1,3,1
"10",4,6,5,6,5,3,1,4,4,5,4,1,5,6,1,4,1,2
"11",1,2,4,3,1,1,4,4,3,1,6,2,5,6,3,3,2,6
"12",3,1,5,2,3,2,6,1,2,4,5,4,5,1,2,5,3,6
"13",3,2,6,4,6,4,5,1,6,5,1,2,6,4,2,3,4,2
"14",1,1,6,5,4,3,4,4,5,1,3,4,2,1,1,1,5,3
"15",1,4,3,3,6,5,4,1,1,2,5,5,4,2,1,4,1,1
"16",5,2,1,2,2,2,3,4,6,4,2,5,4,6,2,1,3,1
"17",4,2,4,2,4,5,2,6,2,6,3,1,2,3,1,2,1,5
"18",2,3,2,5,4,2,5,6,6,3,2,6,4,5,2,5,1,5
"19",3,6,1,6,3,1,4,2,5,3,5,5,5,4,5,6,5,2
"20",6,2,2,5,5,1,3,1,2,1,4,3,4,3,6,1,1,4
"21",4,1,1,6,2,5,2,2,5,2,3,4,6,2,3,3,2,6
"22",3,3,6,6,3,4,3,5,2,2,6,2,1,3,2,6,2,1
"23",5,1,3,6,5,4,4,4,4,6,3,6,1,6,4,6,4,6
"24",5,6,4,5,2,5,5,3,1,1,2,6,3,4,1,3,5,5
"25",6,1,3,2,2,3,4,5,1,3,4,1,6,5,3,2,6,2
"26",5,3,6,5,3,2,2,5,6,6,5,3,5,2,4,2,5,5
"27",2,1,1,1,6,2,3,5,5,6,5,4,2,4,5,3,2,3
"28",3,5,2,4,3,3,3,1,5,2,1,1,4,6,4,2,6,6
"29",2,6,3,4,1,5,2,6,4,1,5,3,1,5,3,1,3,2
"30",5,4,2,4,5,1,6,6,3,3,1,2,1,1,3,3,4,1
"31",5,4,3,6,6,6,1,5,5,3,2,4,3,3,6,2,6,2
"32",4,3,1,3,5,6,5,3,4,1,1,1,5,3,1,6,3,3
"33",2,3,2,3,1,5,6,1,6,3,4,6,1,3,4,2,6,3
"34",3,3,1,5,1,4,1,4,1,6,1,3,3,1,2,4,6,4
"35",2,5,2,1,3,4,1,3,4,4,2,2,6,1,4,2,1,1
"36",2,4,3,6,2,1,6,3,4,5,6,1,3,2,1,1,4,4
"37",1,5,6,1,2,4,6,6,3,6,2,3,4,3,3,6,5,2
"38",5,6,6,2,1,6,3,2,2,3,5,1,4,1,5,3,4,3
"39",2,4,6,4,2,3,1,1,4,4,6,6,3,5,5,3,1,6
"40",6,6,3,3,3,1,2,6,3,5,1,4,6,4,1,4,3,6
"41",3,6,6,2,6,1,5,5,4,2,3,6,6,3,4,2,2,4
"42",3,3,5,1,3,4,4,5,1,2,1,4,1,2,6,1,4,6
"43",2,5,5,6,6,5,3,3,3,1,4,3,6,1,4,5,6,5
"44",3,1,3,1,3,6,6,3,3,1,2,3,2,6,5,4,1,2
"45",6,4,3,1,4,3,5,1,4,6,2,5,5,1,6,3,5,5
"46",1,1,5,2,5,6,1,2,3,5,4,5,4,4,3,1,6,5
"47",1,6,4,4,4,6,3,2,6,5,1,4,1,2,5,5,2,4
"48",6,3,6,3,5,5,2,4,1,3,1,6,5,5,5,5,2,3
"49",6,5,5,3,5,4,6,3,5,3,5,3,2,5,2,1,2,6
"50",6,5,4,5,1,3,6,4,6,2,3,2,4,2,6,5,1,3
"51",2,1,4,5,6,1,2,2,1,4,2,1,3,2,4,6,3,3
"52",5,4,5,1,4,2,1,1,6,1,3,3,3,5,3,6,4,1
"53",4,1,6,3,1,1,4,3,5,4,2,1,1,4,6,4,5,5
"54",4,5,1,4,5,4,3,6,2,4,6,6,5,2,2,1,5,3
"55",6,2,5,4,2,6,5,6,5,5,4,5,3,1,4,4,2,1
"56",4,5,2,3,2,2,1,5,3,1,4,5,2,1,6,6,3,5
"57",1,2,2,4,1,3,2,3,2,6,3,6,6,3,5,5,4,1
"58",5,4,1,2,2,3,5,2,1,5,6,3,1,4,4,6,1,4
"59",3,4,4,1,1,6,3,5,5,4,4,5,6,6,1,6,5,4
"60",1,2,3,2,4,4,1,6,6,2,6,1,5,4,6,4,4,4
