"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",2,4,3,5,2,5,6,3,3,4,6,4,5,1,3,5,5,4,6,6,3,6,2,5,1,6,6,5,3,5,2,3,6,6
"2",6,2,6,3,5,1,4,2,5,3,1,3,5,3,4,6,5,4,2,4,2,5,2,2,6,2,4,1,6,5,2,1,4,6
"3",1,4,3,4,4,1,2,6,6,3,5,5,4,2,2,2,4,3,5,6,6,6,3,6,5,1,1,2,5,4,4,1,3,1
"4",3,1,1,2,6,5,5,2,2,3,4,6,5,6,2,4,3,4,5,4,5,5,1,6,6,4,4,6,2,1,2,2,3,2
"5",6,6,2,3,2,2,2,1,1,3,5,5,6,2,5,3,5,4,4,3,5,2,6,3,6,5,3,3,1,2,2,6,1,3
"6",2,6,3,5,2,6,3,4,2,6,1,2,2,2,3,3,1,3,6,3,5,5,1,2,6,3,4,5,6,6,6,4,3,5
"7",5,2,5,1,2,3,6,4,3,5,6,4,2,6,2,5,4,1,2,1,2,4,6,5,5,3,4,1,2,6,4,4,5,1
"8",6,3,4,5,4,1,5,5,3,6,6,2,5,6,5,3,1,1,2,4,3,1,3,3,2,4,6,5,1,2,3,2,1,5
"9",3,4,2,1,6,3,3,6,4,1,6,2,1,1,4,4,5,3,1,3,1,3,4,1,5,5,6,6,5,4,2,6,2,4
"10",1,1,6,4,1,2,3,5,6,3,6,4,6,4,4,4,6,2,5,2,1,1,5,4,1,4,3,3,6,4,5,3,6,5
"11",2,3,2,5,5,5,3,1,5,5,1,3,3,6,1,2,2,6,1,5,3,3,3,6,3,5,6,3,1,6,5,3,6,3
"12",5,2,3,6,3,6,5,3,5,2,2,5,6,2,4,6,3,1,6,4,1,4,1,3,4,2,3,3,1,1,6,6,2,3
"13",4,1,5,4,1,4,2,1,6,2,3,2,4,4,1,1,4,3,1,3,1,6,2,5,6,4,1,5,1,3,3,4,2,6
"14",2,5,6,6,3,3,1,4,1,1,5,3,6,3,1,4,3,4,2,6,6,1,2,5,4,4,5,1,4,6,4,6,2,4
"15",4,6,3,1,5,3,4,5,5,5,2,1,6,5,3,2,3,1,6,6,5,1,6,4,4,6,3,4,6,1,1,3,4,4
"16",2,1,2,3,3,4,2,4,5,1,1,3,2,1,6,2,4,4,5,4,3,5,6,1,1,5,2,5,2,2,6,5,4,1
"17",5,5,5,3,6,4,2,6,3,2,1,4,6,5,4,4,2,3,3,5,5,6,2,2,1,1,5,2,1,4,1,4,6,2
"18",6,1,3,5,5,4,4,2,6,6,5,2,6,1,4,3,2,6,2,2,5,4,5,5,4,1,2,4,4,5,1,5,3,1
"19",6,2,4,6,1,5,3,6,2,4,2,1,3,1,5,4,3,4,2,3,5,2,6,4,5,1,3,6,4,2,5,2,6,6
"20",1,2,4,1,1,3,5,1,3,1,2,4,3,2,4,2,2,6,3,6,3,2,5,1,2,3,6,1,4,2,1,3,2,5
"21",5,4,1,3,3,4,6,1,6,6,4,3,1,5,3,5,1,5,4,6,1,2,1,1,5,2,2,4,5,2,4,2,5,4
"22",5,3,6,4,6,3,3,4,2,4,1,2,5,1,2,5,5,1,6,1,3,3,3,6,1,3,1,4,5,2,2,4,1,1
"23",1,3,6,2,1,4,3,3,3,6,2,6,1,3,1,5,4,5,3,1,6,5,3,4,3,4,2,5,6,1,1,5,4,6
"24",5,2,5,3,2,2,5,3,6,4,3,1,5,3,3,1,4,2,1,5,6,2,1,1,3,6,4,6,4,6,3,6,5,2
"25",2,1,1,2,6,4,4,6,1,4,5,5,4,2,6,5,2,2,3,5,2,1,3,2,6,3,2,4,3,6,4,5,5,6
"26",6,5,5,3,3,3,6,6,5,3,4,6,4,6,6,1,2,6,5,2,2,5,4,6,4,5,5,6,4,2,5,5,3,5
"27",4,6,1,2,4,1,6,2,1,4,1,2,3,1,1,3,1,3,3,2,1,5,5,4,2,4,3,2,2,4,4,6,6,5
"28",2,5,3,4,6,3,2,2,2,4,3,4,1,5,6,2,3,4,1,2,1,3,2,4,1,2,4,1,6,1,5,6,1,2
"29",6,5,2,4,2,6,6,6,2,2,4,2,5,3,3,4,4,5,1,6,2,3,5,3,3,6,1,1,3,1,6,2,3,2
"30",5,1,1,4,1,1,2,5,6,4,2,4,2,5,5,6,2,5,5,3,6,3,1,4,4,6,6,2,3,4,1,4,3,5
"31",4,6,4,1,1,6,1,3,3,3,2,5,1,4,4,1,1,1,2,2,3,1,3,3,5,6,2,6,3,5,4,1,3,2
"32",5,2,2,1,5,1,1,5,2,1,6,4,4,4,1,2,5,6,3,2,4,4,1,2,4,3,2,6,6,3,5,3,6,3
"33",1,4,4,2,3,2,2,5,4,5,2,3,4,3,6,6,1,6,2,5,2,6,6,5,4,2,1,6,1,5,3,3,1,3
"34",4,6,2,2,1,3,5,6,4,6,3,6,6,2,5,3,6,5,3,4,4,3,3,6,1,2,6,3,6,5,6,4,4,1
"35",2,5,6,6,2,2,4,1,4,1,4,2,2,3,6,4,3,2,4,4,4,3,1,6,3,3,2,6,1,2,1,1,5,1
"36",3,3,3,4,2,5,5,6,2,1,1,3,1,6,1,2,6,2,4,4,6,1,4,3,5,2,2,2,2,5,2,5,5,5
"37",3,2,6,1,3,5,1,2,1,5,3,5,5,5,5,2,6,3,1,6,6,6,4,2,2,2,3,4,2,4,5,1,3,4
"38",4,2,5,6,4,1,2,1,1,5,4,6,2,1,2,5,4,5,5,3,2,2,2,1,3,6,4,4,1,4,6,2,2,4
"39",3,5,3,1,4,4,6,4,6,2,1,5,2,2,6,6,5,6,1,2,5,1,2,5,2,4,1,2,4,3,3,2,5,4
"40",4,3,5,5,5,3,5,3,2,2,5,3,1,4,5,6,1,6,5,5,6,5,4,3,1,5,1,5,6,6,4,1,5,3
"41",3,4,6,6,4,6,4,5,4,6,3,5,5,4,2,1,2,5,6,3,1,2,6,1,2,4,1,2,3,6,2,5,4,2
"42",3,3,5,4,5,5,1,2,5,3,6,6,2,1,3,6,1,1,3,4,4,2,5,5,6,5,5,2,6,1,3,5,4,2
"43",4,1,3,2,2,6,2,1,4,5,5,1,4,6,6,6,6,3,6,5,4,2,4,2,3,4,5,2,5,3,5,4,1,1
"44",1,3,1,4,4,2,6,3,3,5,6,6,3,5,5,1,3,2,4,3,4,6,6,2,2,1,1,3,5,3,2,6,2,6
"45",6,1,1,5,3,2,1,4,1,2,3,6,3,3,2,1,1,2,6,6,1,3,4,5,2,1,5,4,4,3,3,3,6,3
"46",1,5,2,6,3,1,5,1,3,2,3,5,4,5,6,5,3,3,1,1,4,4,4,1,6,6,5,4,5,5,3,4,6,1
"47",3,6,4,5,1,1,1,3,4,4,5,1,2,6,2,4,6,6,6,5,1,5,3,2,4,1,3,3,3,2,2,5,6,3
"48",1,1,5,6,6,1,6,5,5,6,1,4,1,4,3,3,6,3,2,4,5,4,4,4,5,5,3,3,3,1,6,3,1,2
"49",4,5,1,6,5,4,1,5,2,6,6,1,1,3,6,1,6,4,3,5,3,4,5,6,6,3,4,3,2,4,1,2,4,4
"50",6,6,4,2,4,6,3,5,1,4,3,5,3,6,4,4,5,1,4,6,3,5,1,6,3,5,1,2,5,5,3,6,2,6
"51",2,6,4,3,5,4,5,2,1,5,2,4,6,4,1,6,6,6,4,3,2,1,5,3,5,1,6,5,4,3,3,1,3,1
"52",2,3,1,3,1,5,4,6,4,5,4,1,3,2,2,3,2,1,2,2,2,6,1,3,1,6,4,3,5,3,1,1,1,3
"53",5,4,2,6,2,6,3,1,5,1,5,6,3,6,3,1,6,5,3,1,4,4,3,4,1,3,3,4,4,6,1,1,1,4
"54",3,2,2,3,6,2,1,3,4,2,3,1,4,5,3,5,1,4,4,1,4,1,5,6,3,2,2,1,2,5,6,1,2,6
"55",4,4,5,5,6,5,4,3,1,1,2,2,4,4,5,3,5,1,4,1,2,6,6,5,4,6,6,1,5,3,6,2,5,4
"56",3,5,4,2,4,2,3,2,4,6,5,3,5,1,4,1,2,2,5,1,6,4,2,2,5,5,5,1,2,1,5,2,5,6
"57",6,6,6,2,3,5,4,4,6,3,6,1,2,3,1,5,3,5,4,2,6,6,4,1,2,3,6,1,2,3,4,3,2,2
"58",1,3,6,1,5,6,6,4,3,1,4,1,3,5,5,2,4,5,6,1,3,2,2,4,6,1,5,5,3,4,5,6,4,3
"59",5,4,4,1,6,2,4,2,6,2,4,6,1,2,1,3,5,2,5,5,4,4,6,3,3,1,5,5,3,6,6,4,1,5
"60",1,4,1,5,4,6,1,4,5,3,4,3,6,4,2,6,4,2,1,1,5,3,5,1,2,2,4,6,1,1,4,5,4,5
