"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",3,2,4,1,1,1,1,3,3,3,4,2,3,3,1
"2",4,4,2,2,3,3,4,4,2,1,2,4,2,3,1
"3",1,3,4,4,2,1,3,4,3,1,2,2,2,2,4
"4",2,1,1,2,4,1,4,3,1,2,3,1,3,3,4
"5",2,2,2,4,4,2,1,3,4,2,4,4,1,1,2
"6",2,4,3,2,2,4,2,4,4,4,3,4,3,4,4
"7",4,2,3,3,2,4,1,3,1,2,1,1,1,4,3
"8",1,4,2,2,2,2,2,1,1,4,3,1,1,2,1
"9",3,4,1,4,3,1,1,1,2,3,2,3,4,3,3
"10",3,3,1,1,1,3,2,2,2,1,4,3,2,1,4
"11",3,1,2,4,1,4,3,4,2,4,2,2,4,1,2
"12",4,1,4,3,3,3,4,1,3,4,3,3,1,2,3
"13",4,3,3,1,4,2,3,2,4,3,1,1,3,1,3
"14",2,3,3,3,4,4,3,1,3,1,4,2,4,4,1
"15",1,1,4,1,3,3,2,2,1,2,1,4,4,2,2
"16",1,2,1,3,1,2,4,2,4,3,1,3,2,4,2
