"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",3,1,2,1,3,3,1,1,2,3,2,3,1,2
"2",1,3,1,2,3,2,2,1,3,2,1,3,2,3
"3",1,2,2,1,3,1,3,3,2,1,2,3,3,2
"4",3,2,1,1,2,1,2,3,1,3,1,2,2,3
"5",1,1,1,1,1,2,3,2,2,3,2,1,1,1
"6",2,2,1,3,3,3,3,2,2,3,1,1,3,2
"7",3,1,3,2,2,2,3,1,3,1,2,2,3,3
"8",1,2,3,2,3,3,2,2,1,2,3,1,1,3
"9",2,2,1,3,2,1,1,1,3,1,2,1,1,2
"10",2,3,3,1,2,3,1,3,3,2,1,1,2,1
"11",2,1,1,2,2,2,1,3,1,2,3,3,3,1
"12",3,3,2,3,3,2,3,3,3,2,3,2,1,1
"13",1,1,2,3,1,3,1,3,2,1,1,2,2,3
"14",3,3,2,2,1,1,1,2,2,2,3,1,3,3
"15",1,3,3,3,2,1,2,1,1,3,2,2,3,1
"16",2,3,2,1,1,3,3,1,1,1,3,2,2,2
"17",3,2,3,2,1,2,2,2,1,1,1,3,1,1
"18",2,1,3,3,1,1,2,2,3,3,3,3,2,2
