"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",5,3,5,4,1,3,1,1,2,1,3
"2",3,1,5,1,2,5,3,2,5,2,2
"3",3,5,5,5,5,1,3,3,3,2,1
"4",2,5,2,1,3,3,2,5,4,1,4
"5",5,5,3,2,4,4,5,1,4,3,2
"6",1,2,2,3,3,2,5,2,2,1,1
"7",4,3,5,3,3,5,5,5,3,5,5
"8",5,2,1,4,3,4,2,3,4,5,1
"9",1,4,4,3,4,2,1,4,5,5,2
"10",4,2,3,5,2,2,4,4,5,2,5
"11",2,1,3,5,2,4,1,5,2,3,2
"12",4,4,4,1,1,3,4,4,1,4,1
"13",2,3,1,2,1,1,5,3,5,3,3
"14",1,2,4,2,4,4,2,3,1,2,5
"15",1,4,2,5,1,5,3,2,3,4,4
"16",3,4,1,4,5,5,4,4,1,1,3
"17",5,1,2,2,4,1,3,5,2,4,3
"18",3,5,3,3,2,1,2,1,1,5,4
"19",2,1,4,4,5,3,4,1,4,4,4
"20",4,3,1,1,5,2,1,2,3,3,5
