"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,2,3,1,3,1,3,3,2,2,3,3,2
"2",2,2,1,1,3,3,1,1,2,2,2,3,3
"3",3,1,3,1,2,2,1,1,2,3,1,2,1
"4",1,3,2,2,3,2,3,1,1,3,2,2,1
"5",3,1,2,1,3,3,2,2,1,1,3,2,3
"6",2,1,3,3,2,1,2,1,1,1,3,3,2
"7",3,1,1,2,1,2,3,2,1,2,1,3,3
"8",3,3,3,2,2,3,1,1,3,2,3,1,2
"9",2,3,3,1,2,1,3,2,3,3,1,2,3
"10",2,1,1,3,3,2,2,2,3,2,3,1,1
"11",1,2,3,2,1,3,2,3,1,2,1,1,1
"12",3,2,2,2,1,1,1,2,1,3,3,3,1
"13",3,3,1,1,2,1,2,3,1,2,2,1,1
"14",2,3,2,2,3,1,1,3,2,1,1,2,1
"15",1,1,3,2,2,3,3,2,3,1,2,3,1
"16",2,2,1,3,1,3,3,1,2,3,3,2,1
"17",1,3,1,3,2,3,1,2,1,1,1,2,2
"18",3,2,1,2,3,1,3,1,3,1,2,1,2
"19",1,2,2,1,1,2,1,2,3,1,3,1,3
"20",3,3,3,3,1,2,3,3,2,1,2,2,3
"21",2,1,2,1,1,3,3,3,2,3,2,1,2
"22",1,1,2,3,2,1,2,1,2,2,1,1,3
"23",1,1,1,3,1,1,1,3,3,2,2,2,2
"24",2,2,3,3,3,2,1,2,1,3,2,1,3
"25",3,2,2,3,3,3,2,3,3,3,1,3,2
"26",1,3,1,2,2,2,2,3,2,3,3,3,3
"27",2,3,2,1,1,2,2,1,3,1,1,3,2
