"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,3,1,3,2,4,3,1,4,4
"2",1,2,1,3,3,1,1,2,2,4
"3",4,3,4,2,1,3,1,2,4,2
"4",4,3,3,2,4,1,3,1,3,4
"5",1,3,4,2,3,4,4,3,1,4
"6",4,2,1,3,2,3,4,4,4,3
"7",2,3,2,4,4,1,4,4,2,2
"8",1,2,3,4,1,2,4,1,3,3
"9",4,4,2,4,2,2,2,2,1,4
"10",4,1,1,4,3,3,3,2,1,3
"11",4,4,4,3,3,2,4,3,3,1
"12",1,3,1,2,1,2,3,4,1,2
"13",1,3,2,4,2,3,1,4,3,1
"14",3,1,1,2,4,2,1,3,3,1
"15",3,2,4,4,4,4,2,3,3,3
"16",2,2,3,3,4,3,3,1,1,1
"17",2,4,3,1,4,3,1,2,1,3
"18",3,2,4,1,2,1,3,4,1,3
"19",2,1,4,3,1,3,2,4,2,4
"20",3,4,3,4,1,4,3,3,2,1
"21",3,4,1,1,3,3,4,1,2,2
"22",4,2,2,1,3,4,2,4,2,1
"23",3,2,2,2,1,1,4,2,4,1
"24",2,1,4,4,3,1,2,1,4,2
"25",3,1,2,2,1,4,1,1,2,3
"26",4,1,3,3,2,1,1,3,1,2
"27",1,1,2,1,4,2,3,3,4,4
"28",2,1,3,1,2,4,4,2,3,2
"29",1,3,4,1,2,2,2,1,2,1
"30",2,4,1,1,1,1,2,3,3,3
"31",3,4,3,2,3,2,1,4,4,4
"32",1,4,2,3,4,4,2,2,4,2
