"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,5,2,1,1,5,2,2,4
"2",2,4,2,4,2,5,3,4,1
"3",1,4,5,1,3,1,2,2,3
"4",3,1,5,2,4,5,1,3,2
"5",1,2,1,5,1,3,3,3,5
"6",3,2,4,5,5,4,4,5,2
"7",3,4,3,5,2,2,4,5,5
"8",2,3,5,4,3,2,5,1,4
"9",1,3,4,4,3,5,1,4,5
"10",3,1,1,4,1,1,5,4,3
"11",4,5,5,3,5,4,3,3,5
"12",2,5,4,3,1,2,2,5,2
"13",3,4,4,1,5,3,3,1,1
"14",4,2,4,3,2,1,1,2,5
"15",5,4,3,4,1,4,1,3,2
"16",4,2,3,3,4,2,5,1,2
"17",1,1,2,4,5,2,2,2,3
"18",5,1,3,1,2,2,4,3,1
"19",3,2,1,2,3,3,1,5,1
"20",5,5,4,2,2,3,5,4,3
"21",2,1,3,2,5,1,3,4,4
"22",1,4,3,2,4,5,5,5,3
"23",4,5,2,5,3,3,5,2,1
"24",4,3,1,1,5,2,1,4,3
"25",5,1,2,3,3,4,2,5,4
"26",5,3,5,5,4,1,2,4,1
"27",5,3,1,4,5,5,4,2,4
"28",4,3,5,1,1,3,4,5,4
"29",4,1,4,5,2,5,3,1,3
"30",5,4,2,2,3,1,3,1,5
"31",1,2,5,3,1,4,4,2,1
"32",1,5,1,3,4,1,4,3,2
"33",2,3,1,2,2,4,2,1,2
"34",2,2,2,1,4,4,5,3,5
"35",2,5,3,5,4,3,1,1,4
