"","V1","V2","V3","V4","V5","V6","V7"
"1",1,4,2,2,1,4,3
"2",1,3,1,4,2,3,3
"3",4,4,2,2,4,3,1
"4",3,3,4,1,1,3,4
"5",1,1,2,1,2,4,2
"6",1,4,1,2,3,1,2
"7",4,3,2,1,2,2,4
"8",3,1,1,2,2,1,4
"9",4,2,3,1,1,1,2
"10",4,4,1,3,1,2,2
"11",2,4,4,1,2,2,2
"12",1,2,2,4,3,2,4
"13",3,3,2,3,4,4,2
"14",4,1,2,4,2,2,1
"15",4,1,3,3,3,3,3
"16",2,2,1,2,1,3,1
"17",2,2,3,2,4,4,4
"18",2,4,4,4,3,4,1
"19",4,3,4,4,4,1,3
"20",3,3,1,1,3,4,1
"21",4,2,1,3,3,4,4
"22",3,1,3,4,1,4,2
"23",1,1,4,3,4,3,2
"24",2,1,4,3,1,2,4
"25",3,1,4,2,3,1,1
"26",3,4,3,1,3,1,3
"27",4,2,4,2,2,4,3
"28",1,3,3,3,1,1,1
"29",2,1,1,1,4,3,3
"30",2,3,3,3,2,3,1
"31",2,4,2,3,4,1,4
"32",3,2,1,4,4,2,2
"33",2,2,2,4,1,1,3
"34",1,3,4,2,3,2,3
"35",3,4,3,4,2,3,4
"36",1,2,3,1,4,2,1
