"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,2,3,1,2,1,1,4
"2",1,3,3,4,2,4,3,4
"3",1,2,2,4,1,1,3,2
"4",4,1,2,1,2,2,4,3
"5",4,3,2,4,1,1,2,1
"6",3,4,3,3,1,2,4,4
"7",3,4,2,4,2,4,1,2
"8",4,4,4,2,2,1,3,2
"9",1,4,3,1,1,3,2,3
"10",4,4,1,4,3,3,4,3
"11",3,3,4,2,1,4,4,2
"12",3,2,4,1,4,4,2,3
"13",3,1,1,3,2,3,2,1
"14",4,2,4,3,2,3,1,3
"15",2,1,4,1,1,2,3,1
"16",3,2,3,2,3,1,4,1
"17",4,4,2,1,4,2,2,2
"18",3,1,4,4,3,2,2,4
"19",2,4,1,3,3,1,2,4
"20",1,1,3,3,2,2,2,2
"21",1,2,1,1,3,4,2,2
"22",1,4,4,2,3,3,1,1
"23",1,1,2,2,4,3,4,4
"24",4,1,3,3,3,4,3,1
"25",1,3,1,2,1,2,1,3
"26",2,4,2,3,4,4,3,1
"27",2,1,2,3,1,4,1,3
"28",2,3,3,4,4,2,1,1
"29",4,3,3,2,4,3,1,4
"30",1,3,4,3,4,1,4,3
"31",4,2,1,2,1,4,3,4
"32",2,2,1,4,4,2,3,3
"33",3,3,2,1,3,1,3,4
"34",2,3,1,1,2,3,4,1
"35",3,1,1,2,4,1,1,2
"36",2,2,4,4,3,3,4,2
