"","V1","V2","V3","V4","V5","V6"
"1",4,3,1,4,2,2
"2",1,2,3,2,3,3
"3",3,3,2,1,1,3
"4",4,1,1,1,3,3
"5",2,1,3,3,2,1
"6",1,4,1,2,1,2
"7",4,4,3,3,1,3
"8",1,1,1,3,4,2
"9",1,3,2,2,4,4
"10",1,3,4,4,3,1
"11",2,4,2,4,3,2
"12",2,4,4,1,2,4
"13",4,1,2,4,3,1
"14",3,1,1,3,1,4
"15",4,2,2,2,1,4
"16",2,1,3,1,1,2
"17",4,2,3,4,4,4
"18",3,2,4,4,1,2
"19",1,2,4,3,2,3
"20",3,1,3,2,3,4
"21",1,4,3,1,3,2
"22",2,3,4,2,1,1
"23",3,4,3,3,4,1
"24",3,2,4,1,4,2
"25",3,4,1,2,2,1
"26",1,3,3,4,1,4
"27",2,2,2,2,4,1
"28",2,1,4,4,4,3
"29",4,4,4,2,4,3
"30",1,2,2,3,1,1
"31",1,1,2,1,2,4
"32",3,3,4,3,3,4
"33",4,3,2,3,4,2
"34",4,3,3,1,2,1
"35",2,3,1,1,4,3
"36",2,2,1,4,2,3
"37",3,2,1,1,3,1
"38",4,1,4,2,2,2
"39",2,4,1,3,3,4
"40",3,4,2,4,2,3
