"","V1","V2","V3","V4"
"1",1,3,3,3
"2",3,3,3,3
"3",1,2,2,1
"4",2,1,1,2
"5",1,1,2,2
"6",3,1,3,3
"7",2,2,3,3
"8",1,3,2,1
"9",1,1,3,1
"10",2,2,2,1
"11",2,3,2,3
"12",3,3,1,3
"13",3,1,1,1
"14",1,1,1,3
"15",2,1,2,2
"16",2,2,2,2
"17",2,1,3,1
"18",1,1,3,3
"19",3,1,2,1
"20",3,3,3,1
"21",2,3,3,2
"22",2,2,1,1
"23",3,2,2,3
"24",1,1,1,1
"25",3,2,3,1
"26",1,2,1,2
"27",2,1,2,3
"28",3,2,1,2
"29",1,3,1,2
"30",1,3,1,3
"31",2,2,1,3
"32",2,3,2,2
"33",3,3,2,2
"34",3,3,1,1
"35",3,1,1,3
"36",3,1,3,2
"37",1,2,3,2
"38",2,2,3,2
"39",2,3,1,1
"40",1,2,2,3
"41",1,3,3,1
"42",3,2,2,2
