"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,1,1,2,3,1,1,3,2,2,2,3
"2",3,2,1,2,2,3,1,3,1,1,2,1
"3",2,1,3,2,2,1,1,1,1,1,1,2
"4",1,3,2,1,2,3,3,2,1,3,2,2
"5",3,2,2,2,3,2,3,3,3,3,2,1
"6",3,1,3,2,2,3,3,2,3,1,3,3
"7",1,3,1,3,3,2,2,3,1,1,1,2
"8",1,2,2,3,1,3,3,1,2,2,3,2
"9",2,2,2,3,3,1,1,1,3,1,2,2
"10",2,2,3,1,1,2,3,1,3,3,3,1
"11",2,1,3,3,3,2,1,2,1,2,3,1
"12",3,1,1,3,2,2,3,1,2,2,1,1
"13",2,3,3,3,1,2,1,3,2,1,2,2
"14",2,1,2,1,3,2,3,2,1,1,1,3
"15",2,3,1,2,1,1,2,1,1,3,2,1
"16",1,3,3,2,3,1,3,2,2,1,2,1
"17",1,1,1,2,1,2,1,1,3,3,2,2
"18",1,2,3,3,1,1,3,3,3,2,1,2
"19",3,2,3,1,3,1,2,3,1,2,3,2
"20",3,3,2,1,2,2,2,1,1,1,3,1
"21",2,1,1,1,1,3,3,2,1,2,1,2
"22",2,3,1,3,2,2,3,3,2,3,3,3
"23",2,1,1,1,1,1,2,3,3,1,3,2
"24",2,2,1,3,3,3,3,2,2,1,3,1
"25",2,3,3,2,2,1,1,2,2,3,3,3
"26",1,1,3,1,3,3,2,3,2,3,2,3
"27",1,1,1,3,2,3,2,2,3,2,2,1
"28",3,2,2,1,1,1,3,3,2,1,2,3
"29",3,1,3,3,1,2,2,2,1,3,2,2
"30",3,1,2,1,1,2,1,3,2,2,1,1
"31",2,3,3,1,2,3,2,3,3,2,1,1
"32",1,3,2,1,2,2,1,1,1,2,1,3
"33",1,2,1,2,1,2,2,2,1,2,3,3
"34",3,3,1,2,1,3,2,2,3,1,1,3
"35",1,2,3,1,2,2,1,2,3,1,2,3
"36",1,2,1,1,3,1,1,2,2,3,1,1
"37",3,3,3,2,3,2,3,1,2,3,1,2
"38",3,2,1,1,2,3,1,1,2,3,3,2
"39",3,3,2,3,1,1,1,2,3,2,3,1
"40",1,2,3,2,1,3,2,1,2,1,1,1
"41",2,3,1,1,3,1,3,1,3,2,2,3
"42",2,1,2,2,3,3,2,1,3,3,1,2
"43",1,1,2,2,2,1,3,3,1,3,3,1
"44",1,3,2,2,3,3,1,3,3,2,3,2
"45",1,1,2,3,2,1,2,1,2,1,3,3
"46",3,3,3,3,3,3,2,1,1,2,2,3
"47",3,2,2,3,2,1,2,2,3,3,1,3
"48",2,2,2,3,1,3,1,3,1,3,1,3
