"","V1","V2","V3"
"1",4,2,4
"2",5,1,2
"3",3,2,1
"4",2,5,6
"5",6,6,2
"6",5,6,3
"7",3,6,2
"8",3,1,3
"9",1,6,5
"10",3,4,2
"11",4,3,1
"12",2,1,1
"13",2,3,3
"14",1,1,5
"15",3,5,4
"16",4,6,6
"17",6,1,5
"18",5,4,6
"19",6,3,5
"20",3,3,5
"21",6,2,1
"22",6,5,4
"23",1,5,3
"24",6,5,6
"25",6,4,2
"26",2,4,3
"27",1,2,6
"28",5,3,4
"29",5,4,1
"30",1,2,2
"31",3,2,6
"32",1,4,4
"33",3,4,5
"34",2,6,4
"35",4,5,3
"36",5,1,6
"37",4,2,4
"38",4,1,2
"39",2,3,6
"40",5,3,3
"41",2,6,1
"42",2,1,4
"43",1,5,1
"44",1,3,2
"45",4,4,5
"46",5,6,5
"47",6,2,3
"48",4,5,1
