"","V1","V2"
"1",2,5
"2",4,2
"3",2,3
"4",5,1
"5",2,4
"6",4,4
"7",4,1
"8",2,5
"9",1,5
"10",5,3
"11",1,4
"12",5,2
"13",1,3
"14",4,4
"15",4,5
"16",3,5
"17",3,1
"18",2,1
"19",1,4
"20",4,1
"21",4,2
"22",2,4
"23",5,3
"24",2,1
"25",5,5
"26",1,1
"27",1,3
"28",2,2
"29",3,5
"30",1,1
"31",4,2
"32",5,2
"33",2,2
"34",3,3
"35",4,5
"36",4,3
"37",5,4
"38",3,1
"39",1,5
"40",3,1
"41",5,1
"42",2,2
"43",3,2
"44",5,3
"45",5,5
"46",5,4
"47",3,4
"48",1,3
"49",3,5
"50",4,4
"51",3,3
"52",3,3
"53",2,4
"54",1,2
"55",1,2
