"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",6,4,1,1,1,6,2,4,6,3,1,6,3,5,2,4,4,4,3,2,2
"2",6,5,2,6,4,3,5,5,6,5,4,5,2,2,6,4,6,1,5,4,3
"3",3,3,3,5,1,1,3,4,2,1,2,1,6,6,3,5,5,1,4,6,3
"4",5,6,1,1,1,4,6,2,3,3,4,6,5,3,3,2,6,3,4,5,6
"5",6,2,4,2,4,5,6,3,3,4,3,1,1,6,5,5,1,4,3,1,6
"6",3,3,5,4,6,3,5,2,1,5,4,1,6,1,6,2,4,5,5,4,6
"7",3,1,3,2,2,3,2,1,4,3,6,6,1,2,6,3,5,4,2,1,5
"8",5,6,4,5,5,6,2,6,5,4,2,2,3,5,3,3,6,6,6,4,5
"9",3,5,2,3,4,6,1,1,2,4,2,4,5,1,5,3,2,1,4,1,1
"10",3,3,5,5,6,4,2,5,5,5,6,3,3,6,3,5,1,2,1,1,2
"11",6,1,4,6,3,3,3,1,6,5,2,5,4,6,4,2,1,2,4,6,2
"12",4,2,2,2,4,2,3,2,5,2,4,1,4,5,1,6,6,3,5,1,1
"13",5,5,6,2,4,1,3,1,3,2,6,1,3,5,5,1,3,6,3,5,3
"14",1,2,1,3,5,1,1,6,4,6,3,3,4,4,5,4,6,5,3,5,6
"15",4,2,6,6,5,1,6,5,2,4,5,4,2,6,1,3,5,4,2,5,4
"16",2,6,4,5,1,3,4,4,2,4,3,6,4,4,1,3,1,6,1,1,6
"17",6,3,6,3,1,4,1,6,5,2,5,1,1,2,2,2,3,2,4,3,4
"18",3,4,3,1,4,2,2,3,6,6,5,5,1,4,1,6,1,6,4,4,5
"19",6,2,2,2,3,3,3,6,2,6,4,2,6,4,3,1,5,4,1,2,2
"20",2,6,6,4,3,2,1,2,5,3,1,3,2,3,6,5,3,2,2,5,6
"21",2,1,5,1,5,5,1,2,1,3,1,2,5,5,2,4,2,4,2,4,3
"22",5,6,3,6,3,1,1,4,1,6,5,2,3,1,4,6,4,3,3,1,4
"23",3,1,3,4,3,5,6,6,5,5,2,6,5,1,1,6,4,2,2,3,4
"24",4,5,3,2,6,2,3,5,4,4,1,6,6,2,2,1,2,1,3,5,5
"25",4,3,1,5,4,5,1,2,2,1,4,5,2,5,4,1,4,1,1,3,6
"26",6,5,5,1,2,3,4,6,1,2,4,4,4,6,5,6,3,1,2,4,5
"27",6,1,2,3,3,2,4,4,3,1,1,3,1,3,1,3,4,6,5,6,6
"28",1,4,5,3,3,4,5,1,4,5,2,2,2,6,1,2,6,1,3,2,5
"29",2,1,3,4,2,6,6,5,4,3,6,1,3,4,5,3,4,1,6,5,1
"30",4,6,5,6,1,5,5,1,4,1,4,3,1,4,5,4,2,5,5,2,2
"31",3,4,6,3,5,4,6,5,6,1,1,3,6,3,4,6,5,6,4,1,3
"32",5,1,4,4,6,3,1,6,3,1,5,6,4,3,6,5,2,5,3,4,1
"33",5,5,1,4,5,4,5,3,1,3,2,2,1,4,3,6,3,2,1,6,1
"34",2,1,4,1,6,4,4,4,6,4,5,4,1,1,4,1,6,3,3,6,2
"35",6,4,5,4,6,1,3,1,3,3,3,5,5,1,2,5,6,5,1,2,3
"36",3,6,6,2,3,1,6,6,4,5,3,2,5,3,2,4,1,3,5,6,2
"37",4,2,1,6,1,4,2,5,3,3,1,4,6,3,5,6,1,4,5,2,5
"38",4,4,2,3,1,6,4,2,6,5,6,2,4,2,4,5,2,5,1,6,5
"39",3,1,1,6,6,6,4,3,4,5,3,1,2,2,2,1,3,6,4,2,3
"40",1,2,6,1,1,2,2,3,3,6,3,4,4,4,4,1,4,1,6,1,4
"41",1,5,2,4,2,5,2,5,2,6,4,3,1,5,6,2,1,3,4,6,3
"42",4,3,2,1,5,1,4,3,6,1,2,2,3,1,6,3,1,2,6,3,4
"43",5,3,3,5,2,1,6,2,5,6,1,4,2,3,3,1,2,5,2,3,1
"44",5,4,3,1,4,5,5,6,1,3,5,3,4,1,1,2,2,5,6,1,3
"45",2,3,3,2,4,6,5,5,5,2,3,5,5,6,6,2,3,6,1,6,4
"46",5,2,6,5,2,6,5,3,2,2,1,3,4,2,5,1,6,3,1,4,4
"47",2,2,1,3,2,2,5,1,1,1,5,5,3,2,2,4,1,2,3,4,2
"48",2,6,1,4,3,3,1,3,5,2,6,4,5,6,2,1,5,5,6,4,3
"49",1,3,2,6,3,4,4,2,1,4,6,4,5,5,6,6,6,6,4,3,2
"50",4,6,6,3,5,5,4,3,4,6,5,6,6,5,6,3,5,2,2,3,1
"51",1,5,4,6,2,4,2,3,6,1,3,2,6,2,1,3,4,4,2,5,1
"52",6,4,4,5,5,6,2,1,3,6,6,3,6,3,1,4,3,1,5,5,4
"53",4,3,5,2,2,5,1,4,1,5,3,5,2,2,3,5,5,6,6,5,1
"54",2,4,5,6,5,2,3,6,1,2,2,6,1,4,4,2,3,3,5,2,1
"55",1,2,6,5,4,5,3,2,4,2,4,6,3,1,3,6,2,4,6,6,5
"56",1,5,4,1,1,2,3,5,3,4,2,1,2,1,5,4,5,5,1,3,2
"57",1,5,4,2,6,6,4,4,2,1,6,4,2,3,2,5,5,2,5,3,6
"58",1,4,1,5,6,2,6,4,5,2,5,1,5,4,4,2,2,3,2,2,5
"59",5,1,5,4,2,1,5,4,6,4,6,5,6,5,3,4,3,3,6,2,6
"60",2,6,2,3,6,3,6,1,2,6,1,5,3,6,4,5,4,4,6,3,4
