"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",5,6,2,1,2,4,2,2,2,4,6,3,4,1,6,3,2,2,6,2,2,3
"2",2,4,3,2,6,6,6,5,2,4,3,5,4,2,2,1,4,6,6,1,3,5
"3",6,1,1,2,4,2,1,4,2,3,5,2,3,3,3,6,5,1,5,2,6,4
"4",2,1,5,1,3,3,4,1,4,6,6,1,3,2,2,2,3,4,2,1,4,1
"5",2,6,5,5,3,5,5,6,2,2,4,6,3,4,4,4,6,1,1,1,3,2
"6",4,2,2,4,5,4,4,6,2,4,6,6,6,4,3,2,1,5,5,6,6,2
"7",2,4,1,5,4,3,1,6,4,6,3,4,1,1,3,4,2,2,5,6,2,1
"8",3,4,4,5,3,6,5,4,6,5,6,2,6,1,3,1,5,2,2,2,1,3
"9",4,3,5,1,5,4,2,6,6,2,2,3,1,4,6,6,1,3,3,3,1,5
"10",4,1,1,1,3,2,5,3,1,2,1,5,2,2,1,4,5,5,3,6,3,3
"11",1,3,3,5,3,2,5,5,1,6,1,3,5,1,6,6,3,3,4,2,5,2
"12",3,3,2,6,1,5,3,3,4,1,2,6,5,3,5,2,5,6,5,2,2,1
"13",4,3,3,3,4,5,2,2,5,6,5,3,3,3,1,2,6,6,6,6,1,6
"14",1,2,4,3,6,1,2,4,5,1,6,6,5,2,4,5,3,2,6,4,3,5
"15",5,1,4,2,1,3,6,6,5,5,6,4,2,5,4,6,4,6,4,4,2,2
"16",6,6,3,3,1,4,1,5,5,3,2,6,2,2,1,2,4,3,1,4,6,3
"17",6,1,6,4,6,6,3,5,3,6,1,4,2,3,5,2,3,1,4,6,3,4
"18",4,5,1,1,2,4,3,6,4,6,2,1,3,6,4,3,6,6,3,2,5,5
"19",1,2,5,3,4,1,2,5,3,2,2,3,4,6,2,1,5,6,2,5,5,1
"20",1,1,5,6,4,4,6,2,4,3,1,6,3,6,1,3,1,3,5,4,1,3
"21",5,2,5,5,1,1,4,1,2,6,3,5,1,4,3,3,6,2,6,3,5,3
"22",5,2,4,1,5,6,5,2,5,1,2,4,4,1,3,4,6,4,4,2,5,6
"23",3,3,2,6,5,3,5,5,5,4,4,2,1,5,1,5,6,2,2,6,5,5
"24",2,4,1,6,3,6,2,1,3,4,6,5,2,6,5,5,4,3,4,4,6,6
"25",3,3,3,1,6,6,2,3,1,3,4,6,1,5,5,1,3,2,2,3,5,1
"26",5,2,1,4,5,4,2,3,3,6,2,5,5,5,2,5,2,4,1,1,1,2
"27",1,2,2,3,2,5,4,1,5,4,1,3,1,3,4,6,4,1,1,1,2,4
"28",2,1,1,4,1,6,5,4,6,3,3,1,4,5,6,3,3,1,6,4,4,2
"29",2,3,4,2,1,2,3,6,4,5,5,5,5,4,1,1,2,1,1,3,4,6
"30",6,5,4,6,6,5,1,5,1,5,4,4,4,6,4,6,5,4,6,5,4,3
"31",5,3,3,5,2,5,3,2,6,2,5,5,4,2,2,6,1,1,3,5,5,1
"32",6,5,6,4,4,2,3,2,2,4,4,6,1,1,2,5,3,6,2,2,2,5
"33",4,4,5,6,1,1,3,4,1,3,6,4,3,2,6,3,1,6,1,6,4,4
"34",6,3,4,5,2,5,6,1,2,1,3,2,2,5,3,1,2,5,2,4,3,6
"35",1,5,6,6,6,4,6,3,6,6,5,3,4,3,3,4,2,5,1,3,6,4
"36",2,6,4,6,5,1,3,1,4,3,3,1,3,2,5,6,6,5,3,4,1,2
"37",3,5,1,2,5,2,5,1,6,5,2,6,3,1,4,1,1,4,4,5,4,4
"38",1,5,3,4,3,3,1,2,1,2,1,4,6,5,3,1,6,1,4,3,2,5
"39",2,1,5,3,1,4,2,3,2,5,3,2,6,1,5,4,5,4,3,5,6,6
"40",5,1,1,6,6,2,4,6,3,2,4,3,4,1,4,2,4,3,1,3,1,6
"41",4,6,6,2,5,5,3,1,3,5,2,2,5,5,1,5,4,2,5,3,6,2
"42",3,5,2,4,1,1,6,2,4,2,4,4,6,4,2,6,3,4,6,1,6,5
"43",4,6,2,4,6,1,4,3,6,1,6,3,2,6,1,2,5,3,4,2,3,2
"44",3,6,2,5,4,6,1,3,1,5,1,1,5,3,2,3,1,3,2,4,4,6
"45",3,3,6,2,4,3,5,1,1,1,5,3,5,4,4,5,5,3,6,6,1,1
"46",1,6,5,1,3,6,4,3,5,3,4,5,6,6,3,6,2,6,4,6,3,4
"47",5,4,4,1,6,1,6,4,2,4,3,1,6,3,1,3,2,1,3,4,2,1
"48",1,4,6,1,2,2,1,4,6,5,4,5,2,3,6,2,6,4,5,3,3,2
"49",5,6,5,4,4,4,6,3,4,2,5,1,1,2,5,1,4,1,5,5,5,5
"50",6,4,6,2,2,3,5,5,4,1,3,4,5,6,5,2,1,2,3,1,6,4
"51",4,6,3,3,2,2,6,4,3,6,2,6,4,5,6,5,4,2,2,5,1,6
"52",6,2,2,2,3,1,1,2,6,4,3,2,6,6,5,4,3,3,1,6,3,3
"53",2,4,3,3,6,3,4,2,3,1,1,1,2,4,6,5,2,6,1,5,6,3
"54",4,1,6,5,5,3,1,1,5,2,5,5,6,5,6,3,4,5,3,1,4,4
"55",1,5,2,2,1,5,3,5,1,1,6,2,1,4,2,3,3,4,3,5,1,4
"56",3,2,6,4,2,6,1,6,3,1,4,2,3,1,1,5,1,5,4,2,4,3
"57",5,5,4,6,3,3,2,4,5,4,1,2,1,4,4,1,2,5,6,1,5,1
"58",3,2,3,3,4,1,4,4,1,5,5,1,2,6,5,4,1,5,5,1,2,6
"59",6,4,6,5,2,2,4,6,6,3,1,1,5,3,2,4,5,4,5,5,2,5
"60",6,5,1,3,5,5,6,5,3,3,5,4,6,2,6,4,6,5,2,3,4,1
