"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",2,6,6,5,6,4,4,1,3,3,2,4,3,6,6,3,4,6,5,1,3,1,2
"2",1,2,1,1,4,3,6,4,4,3,1,5,2,1,4,3,3,5,6,5,2,2,6
"3",6,1,3,3,1,2,1,4,4,3,5,1,5,2,6,3,2,6,3,5,5,1,3
"4",3,3,3,6,5,6,4,6,5,2,4,3,6,1,5,2,6,5,4,1,5,3,6
"5",1,6,2,3,1,2,5,2,6,4,4,6,3,5,6,4,5,4,2,2,4,6,5
"6",4,5,2,1,2,1,1,3,4,1,1,4,4,5,5,6,2,3,6,1,5,4,3
"7",3,2,3,4,6,5,1,5,2,1,5,6,5,4,6,5,4,4,1,3,2,1,5
"8",6,2,1,4,5,6,3,5,4,5,1,3,1,3,5,1,3,3,1,4,5,5,1
"9",6,4,4,6,4,5,3,4,6,6,5,6,3,6,3,6,6,4,6,3,6,2,3
"10",2,5,2,2,2,6,3,3,3,6,6,1,5,6,4,2,4,2,6,4,3,5,6
"11",1,3,1,2,3,4,1,5,5,6,5,5,3,2,5,4,6,3,4,1,1,4,1
"12",5,3,6,2,6,2,5,4,5,1,1,6,2,4,1,5,6,2,3,4,2,3,3
"13",5,1,3,3,3,5,4,2,1,2,3,2,1,2,6,6,5,2,6,2,3,3,1
"14",4,6,4,4,6,3,1,5,4,4,2,1,1,3,3,5,5,5,6,2,2,6,6
"15",4,2,1,1,2,5,2,6,6,2,3,3,4,6,1,3,6,5,2,4,3,6,4
"16",2,1,5,3,4,1,4,5,1,6,4,1,3,6,2,3,5,3,1,5,1,4,5
"17",4,1,1,5,6,3,2,3,1,3,4,5,2,3,4,6,1,6,2,2,6,3,5
"18",6,3,4,5,5,6,6,3,1,1,2,5,4,6,5,4,2,3,4,5,4,6,6
"19",4,4,3,6,5,4,5,3,5,6,3,3,1,6,6,3,1,2,3,6,1,1,2
"20",3,1,2,3,6,5,6,4,3,6,3,4,5,3,2,1,2,1,5,2,1,6,4
"21",5,4,5,2,1,5,5,1,4,2,4,3,6,5,2,6,3,3,4,2,1,1,6
