"","V1","V2","V3","V4","V5"
"1",3,6,2,2,3
"2",2,1,6,5,3
"3",4,1,4,6,4
"4",4,5,6,6,1
"5",1,4,4,2,4
"6",4,6,2,5,6
"7",3,5,4,4,6
"8",6,4,5,1,6
"9",5,3,1,6,1
"10",5,6,4,1,5
"11",2,2,2,1,6
"12",6,3,4,6,6
"13",2,6,1,5,3
"14",1,3,6,2,1
"15",5,1,5,3,1
"16",5,1,6,2,5
"17",4,4,2,1,4
"18",5,5,3,6,3
"19",4,4,1,3,2
"20",1,6,3,6,4
"21",5,2,4,2,2
"22",1,6,6,3,6
"23",4,5,5,2,3
"24",1,3,2,4,3
"25",3,2,6,6,6
"26",1,4,5,6,2
"27",3,3,5,1,2
"28",5,2,2,5,4
"29",2,2,2,3,2
"30",2,5,3,1,2
"31",6,1,1,4,5
"32",5,5,1,3,6
"33",6,5,3,5,2
"34",4,3,6,5,5
"35",3,5,6,1,4
"36",5,6,6,4,2
"37",2,5,5,5,5
"38",2,2,5,3,5
"39",3,1,1,2,4
"40",4,1,3,1,1
"41",6,2,3,3,4
"42",1,5,1,2,5
"43",5,4,2,4,5
"44",4,3,3,2,6
"45",3,4,3,4,1
"46",2,3,5,4,4
"47",3,4,4,5,1
"48",2,4,1,6,5
"49",6,3,1,1,3
"50",1,2,1,4,1
"51",1,1,4,1,3
"52",6,2,5,5,2
"53",4,2,4,4,3
"54",6,6,5,4,4
"55",2,6,4,3,1
"56",3,1,2,6,2
"57",3,3,3,3,5
"58",6,6,2,2,1
"59",6,4,6,3,3
"60",1,1,3,5,6
