"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,1,3,2,1,3,2,2,2,3,3,3,3
"2",2,3,1,1,1,3,2,3,2,1,1,2,1
"3",3,3,3,2,3,1,2,3,3,1,3,2,2
"4",1,2,2,1,2,3,1,2,3,1,2,3,3
"5",1,3,1,2,2,1,2,1,1,3,1,3,2
"6",2,3,1,3,3,2,1,1,2,2,3,3,3
"7",3,1,1,2,3,3,3,2,1,2,2,2,1
"8",1,3,3,3,2,2,3,3,1,2,1,2,3
"9",2,2,3,1,3,1,3,1,2,2,2,3,1
"10",3,2,2,3,3,2,2,3,3,3,1,3,1
"11",2,3,2,3,1,3,3,1,3,3,2,1,2
"12",1,1,2,1,3,1,2,2,2,3,1,1,3
"13",3,2,1,2,1,1,1,2,3,2,1,1,3
"14",3,1,3,3,2,3,2,1,2,1,1,1,2
"15",1,2,1,3,2,1,3,2,2,1,3,1,1
"16",1,2,2,2,3,3,1,3,1,2,3,1,2
"17",2,1,1,1,2,2,3,3,3,3,3,2,2
"18",3,3,3,1,2,2,1,2,1,3,2,1,1
"19",2,1,2,3,1,1,1,3,1,1,2,3,2
"20",3,2,2,1,1,2,3,1,1,1,3,2,3
"21",1,1,3,2,1,2,1,1,3,2,2,2,1
