"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,4,3,4,4,2,1,2,3,1
"2",1,2,3,4,2,1,2,1,1,2
"3",3,1,2,4,2,4,1,4,2,3
"4",2,1,4,2,4,2,2,3,1,4
"5",1,3,4,4,1,3,3,2,2,4
"6",1,3,2,1,3,4,1,3,4,2
"7",2,2,1,1,2,4,4,3,1,4
"8",3,4,2,3,3,2,4,3,1,1
"9",2,4,3,2,1,3,1,4,1,2
"10",3,4,1,4,2,3,2,1,4,2
"11",4,1,3,4,4,3,3,3,4,2
"12",4,2,1,1,4,3,2,4,3,1
"13",2,1,2,2,1,4,3,1,3,1
"14",3,2,4,1,4,1,4,1,2,2
"15",2,3,1,2,2,1,4,2,4,1
"16",1,2,2,3,1,2,2,4,4,4
"17",4,3,3,1,2,2,1,1,2,4
"18",3,1,3,1,1,3,4,2,4,3
"19",3,3,1,3,4,4,1,2,2,4
"20",4,4,4,3,2,4,4,3,3,3
"21",3,4,3,2,3,1,3,4,4,4
"22",4,3,4,2,3,4,2,2,1,1
"23",1,1,1,2,3,1,1,2,3,3
"24",2,2,4,3,3,4,2,1,4,3
"25",3,2,4,3,1,1,1,3,3,1
"26",1,3,4,1,2,2,3,4,3,2
"27",1,4,2,2,4,3,3,1,1,3
"28",2,3,1,4,4,1,3,4,2,3
"29",4,1,1,3,1,2,3,2,1,2
"30",4,2,2,4,3,2,4,1,3,4
"31",1,1,3,3,3,3,4,4,2,1
"32",4,4,2,1,1,1,2,3,2,3
