"","V1","V2","V3","V4","V5","V6","V7"
"1",1,1,1,2,2,1,1
"2",3,2,1,1,3,2,1
"3",2,1,3,3,3,2,1
"4",1,1,2,1,3,2,3
"5",1,3,1,1,2,3,2
"6",1,1,3,3,1,3,2
"7",3,3,1,3,1,1,1
"8",3,2,1,1,2,1,3
"9",1,3,2,2,1,2,1
"10",1,2,1,3,3,1,2
"11",2,2,2,2,2,2,2
"12",1,3,3,2,3,2,2
"13",2,1,3,1,2,1,2
"14",3,3,2,3,3,3,2
"15",2,3,2,2,1,3,3
"16",1,2,1,2,1,3,3
"17",1,2,3,1,1,1,1
"18",2,1,1,2,3,3,1
"19",3,1,2,1,1,3,1
"20",2,1,2,3,1,1,3
"21",3,3,3,2,2,3,1
"22",3,3,3,1,1,2,3
"23",3,1,1,3,2,3,3
"24",2,3,2,1,3,1,1
"25",2,3,1,3,3,2,3
"26",1,3,3,3,2,1,3
"27",3,2,3,3,2,2,2
"28",2,2,2,2,2,2,2
"29",2,2,3,1,3,3,3
"30",3,2,2,2,1,1,2
"31",2,1,1,1,1,2,2
"32",3,1,3,2,3,1,3
"33",1,2,2,3,2,3,1
