"","V1","V2","V3","V4"
"1",3,1,6,2
"2",3,3,3,6
"3",5,6,2,5
"4",1,1,2,6
"5",6,1,4,5
"6",4,3,2,1
"7",4,1,5,4
"8",1,5,5,5
"9",6,5,6,1
"10",2,2,5,1
"11",4,4,3,5
"12",2,6,4,6
"13",6,4,5,6
"14",6,2,2,2
"15",6,6,3,3
"16",5,2,6,6
"17",4,5,1,6
"18",3,5,2,3
"19",1,3,4,2
"20",4,2,4,3
"21",3,2,1,5
"22",2,5,3,2
"23",5,5,4,4
"24",5,4,1,2
"25",4,6,5,2
"26",6,3,1,4
"27",1,4,6,3
"28",2,1,1,3
"29",5,1,3,1
"30",2,3,6,5
"31",3,4,4,1
"32",3,6,6,4
"33",2,4,2,4
"34",5,3,5,3
"35",1,2,3,4
"36",1,6,1,1
