"","V1","V2","V3","V4","V5"
"1",4,3,4,4,2
"2",4,4,1,2,3
"3",2,1,1,3,3
"4",2,1,3,1,4
"5",3,4,2,4,2
"6",1,2,4,3,4
"7",1,1,3,2,1
"8",2,1,4,4,2
"9",2,4,1,1,1
"10",1,4,3,4,3
"11",3,2,1,1,4
"12",4,2,3,3,3
"13",4,4,3,3,1
"14",1,3,4,1,3
"15",3,1,4,2,3
"16",1,3,1,3,2
"17",4,2,4,1,1
"18",3,1,2,3,1
"19",3,2,1,4,1
"20",4,1,1,2,2
"21",1,4,2,2,4
"22",3,4,3,1,2
"23",3,4,4,3,4
"24",2,3,4,3,1
"25",2,4,4,2,2
"26",2,2,3,1,2
"27",2,3,2,3,4
"28",3,3,2,2,1
"29",2,3,1,4,4
"30",4,1,2,4,4
"31",4,3,3,2,4
"32",4,3,2,1,3
"33",3,2,3,4,3
"34",1,1,2,1,2
"35",1,2,2,4,1
"36",1,2,1,2,3
