"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,1,3,3,1,2,1,2,2,3,2
"2",1,3,3,2,1,2,3,3,1,2,2
"3",3,3,2,3,2,1,3,3,3,2,2
"4",3,1,1,2,2,1,1,2,3,2,3
"5",3,1,2,1,1,3,3,2,2,1,2
"6",1,3,1,2,3,2,3,2,2,1,3
"7",1,3,2,3,1,3,2,1,3,2,3
"8",2,3,3,1,2,1,1,2,1,3,2
"9",3,2,3,2,3,2,1,3,1,1,1
"10",1,1,2,2,3,3,1,2,1,3,3
"11",1,2,3,1,3,3,2,1,2,2,2
"12",3,2,2,1,3,2,2,1,3,3,3
"13",2,1,1,1,1,2,2,3,1,2,3
"14",1,3,2,1,1,1,2,2,2,3,1
"15",1,1,1,2,2,2,3,1,3,3,2
"16",1,3,2,2,2,2,1,1,1,1,1
"17",2,3,3,3,3,1,1,1,2,2,3
"18",1,2,1,3,2,1,2,3,1,3,3
"19",2,3,2,1,2,3,3,1,1,1,3
"20",2,2,1,3,3,3,1,1,3,1,2
"21",3,3,1,1,2,2,2,2,2,1,1
"22",3,3,3,2,3,3,2,2,3,2,1
"23",2,2,1,3,1,3,3,2,1,2,1
"24",2,1,3,1,1,2,1,1,3,2,1
"25",1,2,3,3,2,1,3,2,3,1,1
"26",3,3,1,2,1,3,1,3,2,3,2
"27",3,1,3,3,2,3,2,3,2,1,3
"28",1,1,2,1,3,1,2,3,3,1,2
"29",3,1,2,3,2,3,2,1,1,3,1
"30",2,1,1,2,1,1,2,1,2,1,1
"31",2,2,2,2,1,2,1,3,3,1,3
"32",3,2,3,2,1,1,3,1,2,3,3
"33",2,1,3,3,3,2,3,2,1,2,2
"34",2,2,3,1,2,3,3,3,3,3,3
"35",2,1,2,2,3,1,3,3,2,3,1
"36",2,3,1,3,3,2,2,3,3,3,1
"37",1,2,1,1,2,3,1,3,2,2,1
"38",3,2,1,1,3,1,3,1,1,2,2
"39",3,2,2,3,1,1,1,2,1,1,2
