"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",2,2,5,4,1,4,1,3,4,2,4,5
"2",1,2,2,2,3,3,1,5,3,2,1,1
"3",1,2,4,1,4,1,3,3,4,5,1,4
"4",4,3,1,1,2,1,3,3,5,1,3,1
"5",3,5,5,1,2,3,1,4,1,4,3,2
"6",2,5,1,3,1,3,3,5,2,1,4,4
"7",4,5,4,5,4,2,1,1,3,3,4,1
"8",4,1,1,3,3,2,5,3,1,4,4,5
"9",1,4,4,1,3,4,2,2,2,3,5,5
"10",5,1,3,2,1,1,1,2,2,3,4,3
"11",2,5,5,3,5,4,4,3,5,3,2,1
"12",3,1,3,3,1,5,2,4,5,5,3,1
"13",5,2,5,3,5,5,3,1,2,1,3,4
"14",2,2,5,5,3,1,5,5,2,3,3,2
"15",1,1,1,5,4,3,4,2,5,2,3,4
"16",2,2,2,4,2,3,3,1,1,5,5,1
"17",5,3,5,2,3,3,5,1,5,5,5,3
"18",3,4,2,4,3,1,2,1,5,3,1,5
"19",1,3,3,2,5,5,5,4,1,3,4,2
"20",5,5,3,2,4,3,2,4,5,1,2,5
"21",5,3,4,5,1,2,3,4,3,5,2,5
"22",2,4,1,2,5,2,2,2,4,5,4,2
"23",2,1,4,4,4,2,2,4,1,1,2,3
"24",4,5,2,1,1,4,5,2,4,4,3,4
"25",5,4,2,5,2,5,2,3,3,2,5,2
"26",3,3,3,5,1,4,4,2,1,1,1,1
"27",4,1,4,1,3,4,3,5,4,1,5,2
"28",4,4,5,2,2,2,4,3,1,2,1,4
"29",3,4,4,5,4,5,4,5,4,4,4,4
"30",3,2,2,1,5,2,4,4,3,2,5,5
"31",5,2,1,4,2,4,5,4,4,3,1,3
"32",4,1,5,4,5,3,2,2,3,4,1,2
"33",3,3,1,1,4,5,1,1,2,2,2,3
"34",5,4,2,3,4,1,4,5,2,4,2,1
"35",2,1,3,2,2,5,4,1,3,4,2,5
"36",1,3,3,3,2,1,1,5,5,4,5,3
"37",3,5,3,4,5,1,5,2,3,1,5,3
"38",1,4,4,3,1,2,5,1,4,2,2,2
"39",4,3,2,4,5,4,1,5,1,5,3,4
"40",1,5,1,5,3,5,3,3,2,5,1,3
