"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,2,3,1,2,1,3,4
"2",4,4,3,2,1,3,2,2
"3",2,4,2,2,4,2,1,1
"4",4,3,4,1,4,2,2,3
"5",1,3,3,3,1,4,4,3
"6",2,1,4,1,4,3,4,3
"7",3,2,2,4,1,3,4,1
"8",3,3,4,4,2,2,4,2
"9",1,2,4,4,2,3,2,2
"10",4,2,3,2,3,4,4,4
"11",1,2,1,3,3,2,2,4
"12",3,4,1,3,4,3,4,2
"13",4,4,3,4,3,1,3,1
"14",3,2,2,4,4,1,3,3
"15",1,3,2,1,3,1,4,2
"16",4,3,1,4,3,3,1,3
"17",1,4,3,1,2,3,1,1
"18",3,4,1,1,1,2,3,3
"19",2,1,3,4,1,2,1,3
"20",1,2,4,2,1,2,4,1
"21",4,3,2,1,2,4,3,1
"22",4,1,1,2,2,1,4,3
"23",1,1,3,3,4,1,3,2
"24",1,4,4,3,3,1,1,3
"25",2,2,1,1,1,4,1,2
"26",3,1,2,1,3,3,1,4
"27",3,3,4,2,1,1,1,4
"28",4,2,1,2,4,2,2,2
"29",2,4,4,2,3,4,3,2
"30",3,2,4,3,4,4,1,1
"31",3,1,3,1,3,2,2,1
"32",3,4,2,3,2,4,2,4
"33",1,1,2,2,2,4,2,3
"34",2,3,3,4,4,4,2,4
"35",4,1,2,3,2,1,1,2
"36",2,3,1,3,1,1,2,1
"37",4,1,4,3,1,3,3,4
"38",2,4,2,4,2,2,4,4
"39",1,3,1,2,4,3,3,4
"40",2,1,1,4,3,4,3,1
