"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",2,3,2,4,2,3,3,4,1
"2",1,1,3,3,3,2,1,1,4
"3",3,4,1,2,1,2,3,3,1
"4",1,2,2,1,1,3,2,2,1
"5",4,1,2,2,1,2,1,1,2
"6",3,3,3,3,3,4,4,4,4
"7",3,2,2,4,2,1,3,1,2
"8",1,4,3,2,3,1,3,2,1
"9",4,3,3,3,1,4,1,2,1
"10",2,1,3,2,2,4,4,2,2
"11",2,1,1,3,3,3,4,1,1
"12",3,2,1,4,1,3,1,3,4
"13",2,1,3,4,4,3,1,4,2
"14",2,4,3,4,1,2,3,1,3
"15",4,3,1,1,2,1,4,2,3
"16",2,2,1,2,3,2,4,4,4
"17",2,3,4,1,4,2,4,1,2
"18",1,2,1,4,3,4,3,2,3
"19",4,2,4,1,3,4,2,3,2
"20",1,4,2,2,2,4,2,1,4
"21",1,3,1,1,4,2,2,4,2
"22",3,3,4,2,4,1,2,2,4
"23",4,4,1,3,4,3,3,2,2
"24",3,4,1,1,3,3,1,1,3
"25",3,1,4,4,1,2,4,2,3
"26",4,2,4,2,2,3,3,1,4
"27",2,1,3,1,1,1,2,3,3
"28",2,2,2,3,4,1,2,1,3
"29",4,2,3,4,4,2,4,3,1
"30",4,2,3,2,4,1,1,3,3
"31",1,4,4,3,4,3,4,3,3
"32",4,1,1,3,2,4,2,4,3
"33",4,4,2,4,3,2,2,4,4
"34",3,4,4,3,2,1,1,4,2
"35",1,3,2,3,1,1,4,3,4
"36",3,1,2,1,3,1,3,4,1
"37",1,3,1,4,2,1,1,2,2
"38",3,3,4,4,3,4,2,1,1
"39",1,2,4,2,1,4,3,4,3
"40",2,3,4,1,2,3,1,3,4
"41",3,1,2,1,4,4,3,2,4
"42",4,4,3,1,1,3,4,4,2
"43",1,1,4,3,2,2,2,3,1
"44",2,4,2,2,4,4,1,3,1
