"","V1","V2","V3","V4","V5","V6"
"1",1,3,6,2,3,5
"2",3,5,5,1,6,3
"3",6,3,4,3,6,6
"4",1,4,5,1,2,2
"5",3,6,1,4,3,2
"6",6,3,2,6,6,2
"7",5,3,5,4,1,6
"8",4,4,4,1,1,5
"9",3,1,2,3,1,6
"10",5,5,3,3,5,5
"11",4,5,3,5,2,4
"12",1,5,5,6,4,6
"13",4,3,4,4,4,3
"14",4,2,5,6,5,5
"15",5,1,3,1,4,2
"16",2,2,3,2,3,3
"17",2,1,4,2,5,6
"18",5,4,6,6,3,3
"19",3,2,4,6,1,2
"20",4,4,2,3,5,4
"21",1,2,2,1,6,5
"22",2,6,4,1,4,4
"23",4,2,1,1,1,3
"24",1,6,3,4,1,5
"25",6,4,5,2,5,1
"26",5,3,2,2,2,2
"27",2,3,2,6,2,5
"28",5,6,6,5,6,5
"29",1,3,3,3,4,3
"30",3,3,1,1,5,1
"31",6,1,4,5,2,5
"32",5,1,5,2,3,4
"33",5,2,3,4,2,1
"34",1,6,2,6,5,3
"35",3,6,6,2,2,6
"36",1,2,5,4,5,2
"37",3,3,6,5,4,1
"38",4,6,3,2,6,2
"39",4,2,1,5,3,6
"40",5,5,2,5,4,1
"41",6,5,2,1,3,6
"42",5,6,1,2,4,5
"43",3,2,5,3,2,4
"44",2,4,6,4,5,4
"45",6,6,4,4,3,3
"46",6,4,1,6,1,4
"47",1,1,1,5,3,1
"48",6,2,6,1,4,4
"49",3,4,3,5,4,6
"50",2,4,1,4,6,6
"51",3,1,3,6,6,4
"52",4,1,6,3,6,1
"53",2,5,2,2,1,1
"54",4,6,5,6,2,1
"55",6,1,1,4,5,3
"56",2,4,4,3,3,1
"57",2,1,6,5,1,3
"58",2,5,4,5,6,2
"59",6,5,6,3,1,2
"60",1,5,1,3,2,4
