"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,3,1,3,1,2,2,3,3,3,2,1
"2",2,3,2,1,2,3,2,1,3,3,1,2
"3",1,3,2,1,2,2,3,3,1,3,3,3
"4",2,2,3,1,3,1,1,1,2,3,3,1
"5",3,2,2,2,2,3,1,2,1,3,1,1
"6",2,2,2,3,1,1,3,3,2,1,1,2
"7",1,2,1,2,1,3,1,1,1,2,3,2
"8",2,1,1,1,2,3,1,2,3,1,3,1
"9",3,1,2,1,1,1,2,1,2,2,1,1
"10",1,2,2,3,3,2,1,3,3,1,3,2
"11",1,1,3,3,2,1,3,2,3,3,2,1
"12",3,3,2,2,3,3,2,3,2,2,3,1
"13",2,1,3,2,1,2,1,1,1,1,2,3
"14",3,1,2,3,3,3,1,1,3,2,2,3
"15",1,1,1,2,3,1,1,3,2,3,1,2
"16",1,1,2,3,2,2,2,1,1,1,1,1
"17",1,1,2,1,1,2,3,2,3,2,3,2
"18",2,2,1,2,2,3,3,3,3,2,1,3
"19",2,1,3,2,3,3,3,3,1,2,2,1
"20",2,3,3,3,3,1,2,2,1,2,1,2
"21",1,3,1,2,3,2,3,1,2,1,2,1
"22",3,1,3,2,2,1,2,3,3,1,3,3
"23",1,2,3,1,3,3,2,2,2,1,1,3
"24",3,2,2,1,3,1,3,2,1,1,2,3
"25",3,3,1,3,2,2,1,2,2,1,1,3
"26",3,3,3,1,2,2,1,3,1,2,2,2
"27",3,1,1,1,1,3,3,2,2,3,2,2
"28",2,1,1,3,3,2,2,2,1,3,3,3
"29",3,2,3,2,3,2,3,1,3,3,1,2
"30",2,3,3,3,1,3,3,1,2,1,3,2
"31",3,2,1,3,2,1,3,1,1,2,3,2
"32",1,3,3,2,1,2,1,2,3,2,1,1
"33",2,2,1,1,1,1,2,3,1,1,2,1
"34",1,2,3,3,1,3,2,3,2,3,2,3
"35",1,3,1,1,2,1,2,1,3,2,2,3
"36",2,3,2,2,1,1,1,2,2,3,3,3
