"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",2,3,1,2,1,4,1,4,3,3,4,1,3,2,3
"2",4,1,3,1,2,4,2,4,2,4,3,3,3,1,1
"3",3,4,2,2,3,2,1,1,3,4,4,4,4,1,2
"4",2,1,2,4,2,1,4,3,3,3,1,4,2,1,1
"5",3,1,3,3,1,1,1,2,3,1,4,3,2,4,2
"6",3,1,1,4,3,4,4,1,3,2,2,2,3,4,3
"7",4,4,1,1,3,1,2,2,2,4,1,1,2,2,3
"8",1,3,2,3,2,3,1,1,2,2,3,1,1,4,1
"9",4,3,2,1,3,4,3,3,4,1,3,4,4,4,2
"10",2,3,3,4,1,4,3,1,1,4,1,3,1,2,2
"11",4,2,4,4,3,2,1,3,1,2,4,2,1,1,2
"12",1,3,1,2,1,2,2,2,1,2,2,4,3,1,4
"13",3,4,3,4,2,3,2,4,3,1,1,1,4,2,1
"14",1,1,2,1,4,3,4,2,2,3,4,4,1,2,3
"15",2,4,4,1,2,2,3,4,3,4,2,3,1,4,4
"16",3,3,3,2,4,1,3,4,1,2,2,4,1,3,1
"17",1,2,1,3,4,4,3,4,2,1,1,3,2,1,2
"18",1,1,3,2,3,1,3,3,3,1,3,1,1,2,4
"19",3,2,1,4,2,3,2,3,1,3,4,4,2,4,4
"20",1,4,4,2,1,4,4,3,2,2,4,2,3,3,1
"21",4,3,3,3,4,2,4,3,2,3,1,1,3,4,4
"22",1,4,3,4,3,3,1,3,4,4,2,4,2,3,3
"23",4,1,4,3,1,2,3,1,2,1,2,4,4,2,3
"24",4,2,4,2,4,3,3,1,3,4,4,1,2,3,1
"25",4,4,1,3,1,2,4,2,4,3,3,3,1,3,1
"26",2,2,4,1,3,4,1,2,1,2,1,3,4,3,3
"27",4,1,2,2,1,3,1,4,4,2,1,2,2,3,4
"28",1,2,2,4,2,3,3,2,4,4,3,1,4,1,4
"29",3,2,2,1,1,1,4,3,1,3,2,1,4,3,2
"30",2,3,4,3,3,1,4,4,4,2,4,3,4,2,3
"31",3,4,3,1,2,3,4,1,1,1,3,2,2,1,3
"32",2,4,2,4,4,1,2,1,2,1,3,3,3,3,4
"33",3,3,4,3,4,4,2,2,4,3,2,2,1,1,4
"34",1,2,4,2,2,1,2,1,4,3,1,2,3,4,2
"35",2,2,1,1,4,2,1,2,4,1,2,2,3,2,1
"36",2,1,1,3,4,2,2,4,1,4,3,2,4,4,2
