"","V1","V2","V3","V4"
"1",1,2,2,6
"2",5,3,3,4
"3",1,3,6,3
"4",1,4,1,2
"5",4,1,3,6
"6",3,4,6,4
"7",2,5,2,3
"8",3,5,1,5
"9",2,3,3,1
"10",6,5,4,6
"11",6,4,6,1
"12",1,5,5,1
"13",3,6,4,2
"14",2,6,6,6
"15",4,4,4,3
"16",6,1,1,3
"17",1,1,4,4
"18",6,6,2,4
"19",2,4,4,5
"20",4,3,2,5
"21",3,2,3,3
"22",4,2,6,2
"23",5,6,5,3
"24",3,3,5,6
"25",1,6,3,5
"26",3,1,2,1
"27",4,6,1,1
"28",5,4,1,6
"29",2,2,1,4
"30",5,5,3,2
"31",2,1,5,2
"32",6,3,2,2
"33",4,5,5,4
"34",6,2,5,5
"35",5,1,6,5
"36",5,2,4,1
