"","V1","V2","V3","V4","V5","V6"
"1",6,5,2,3,6,2
"2",5,2,5,1,6,3
"3",4,2,6,3,1,5
"4",5,3,4,2,1,1
"5",6,1,4,6,3,1
"6",5,6,4,4,4,3
"7",2,4,5,5,2,1
"8",1,2,5,6,4,5
"9",3,4,4,3,6,5
"10",3,5,5,2,1,6
"11",3,1,6,1,3,2
"12",2,2,3,2,5,1
"13",4,3,3,2,3,3
"14",2,3,2,1,4,6
"15",4,6,3,6,6,6
"16",2,6,6,2,3,4
"17",1,1,2,3,2,3
"18",6,2,1,4,1,4
"19",1,5,4,1,5,4
"20",3,3,2,6,1,4
"21",6,4,5,3,4,4
"22",3,1,3,5,6,4
"23",5,5,6,6,2,3
"24",4,5,5,4,5,1
"25",5,4,2,5,3,6
"26",3,6,1,3,4,1
"27",1,3,6,4,6,2
"28",4,2,2,5,4,2
"29",4,4,1,1,2,2
"30",6,3,6,5,5,6
"31",6,6,3,1,2,5
"32",5,1,1,2,5,5
"33",1,5,1,4,3,5
"34",1,6,3,5,1,2
"35",2,4,1,6,5,3
"36",2,1,4,4,2,6
