"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",2,2,4,1,2,4,1,3,2,3,4
"2",4,3,3,3,4,1,2,3,1,3,2
"3",2,2,1,2,1,2,2,1,1,4,1
"4",3,1,4,4,3,3,3,1,2,4,1
"5",4,2,2,4,3,3,3,4,1,4,4
"6",3,1,3,4,1,1,2,2,3,3,4
"7",3,4,4,1,3,3,2,3,1,2,1
"8",4,1,4,1,4,2,3,4,3,2,3
"9",2,3,2,4,1,4,1,3,1,1,3
"10",3,2,3,3,1,4,3,4,4,2,1
"11",1,2,1,3,2,3,4,3,3,4,4
"12",3,4,2,2,4,2,1,1,2,3,4
"13",2,1,1,3,4,2,3,2,1,2,4
"14",1,2,2,4,3,1,1,2,2,2,1
"15",1,2,3,2,4,4,1,1,3,2,3
"16",2,4,2,1,1,2,2,4,4,2,4
"17",4,4,2,3,4,2,4,2,3,1,1
"18",3,1,1,2,3,3,1,4,3,1,2
"19",4,3,4,3,3,4,2,2,4,1,4
"20",4,3,3,1,2,2,1,2,3,4,1
"21",3,4,1,2,2,4,3,2,1,4,3
"22",2,4,3,3,3,1,1,4,4,4,3
"23",1,3,4,4,1,2,3,2,3,4,3
"24",4,3,1,4,2,3,1,1,4,2,2
"25",1,3,3,2,4,3,3,4,2,1,4
"26",1,1,2,2,2,1,3,3,4,1,1
"27",2,2,4,2,4,1,4,3,3,4,2
"28",4,2,1,1,1,1,2,3,2,1,3
"29",2,4,1,4,4,4,2,3,3,3,1
"30",4,4,3,2,1,3,4,3,4,3,2
"31",1,4,4,3,1,3,2,1,2,1,2
"32",3,1,2,1,4,4,2,2,4,4,2
"33",1,1,4,3,2,2,1,4,1,3,2
"34",2,1,3,1,2,3,4,2,1,1,2
"35",2,2,3,4,3,2,4,1,4,1,3
"36",3,4,1,4,2,1,4,4,2,2,2
"37",1,3,1,1,3,1,3,1,4,3,3
"38",4,1,2,3,1,4,4,1,2,3,3
"39",1,3,2,1,3,4,4,4,2,3,1
"40",3,3,4,2,2,1,4,1,1,2,4
