"","V1","V2","V3","V4","V5"
"1",2,5,5,3,1
"2",5,4,5,4,4
"3",1,2,4,4,1
"4",2,4,4,2,2
"5",4,3,4,5,5
"6",4,4,2,2,3
"7",1,1,3,3,2
"8",4,3,5,1,1
"9",1,3,1,4,4
"10",4,2,3,3,5
"11",4,2,2,4,3
"12",5,2,5,3,3
"13",5,1,2,5,4
"14",3,3,4,4,2
"15",2,3,2,5,1
"16",3,1,3,2,4
"17",1,2,2,2,5
"18",3,4,5,1,5
"19",1,5,2,1,2
"20",3,4,1,2,1
"21",3,2,1,5,3
"22",3,1,5,5,2
"23",3,5,2,4,5
"24",2,4,3,5,4
"25",5,5,3,1,3
"26",2,1,1,1,3
"27",5,3,2,3,2
"28",2,2,4,1,4
"29",4,5,4,2,4
"30",2,5,1,3,4
"31",1,3,5,2,3
"32",4,4,1,4,2
"33",2,1,5,4,5
"34",5,1,4,2,2
"35",5,3,1,1,5
"36",4,1,1,3,1
"37",1,4,3,3,5
"38",3,2,3,1,1
"39",1,5,4,5,3
"40",5,5,3,5,1
