"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",4,3,2,2,3,1,1,1
"2",2,1,3,3,4,1,4,1
"3",3,1,2,1,1,2,1,3
"4",1,4,3,2,3,4,1,4
"5",4,1,2,3,1,3,4,2
"6",1,2,2,2,4,2,4,4
"7",4,3,1,1,4,2,2,2
"8",3,4,2,2,1,3,3,4
"9",4,4,3,1,2,1,4,3
"10",3,1,2,3,4,4,1,2
"11",3,4,1,3,3,2,2,4
"12",2,2,4,4,3,3,1,1
"13",2,1,4,2,1,4,4,2
"14",1,1,2,4,3,4,3,3
"15",4,2,1,2,3,4,4,3
"16",4,3,4,4,3,2,3,2
"17",2,3,2,3,1,2,4,3
"18",1,4,1,3,2,1,3,2
"19",1,4,4,4,2,3,4,3
"20",1,1,1,2,3,2,2,2
"21",1,3,3,1,1,2,3,1
"22",4,4,3,4,1,4,2,2
"23",2,3,4,2,1,1,2,4
"24",1,3,3,3,4,3,2,1
"25",3,3,4,3,4,4,3,4
"26",3,2,1,4,1,1,3,1
"27",3,4,2,1,3,4,4,1
"28",4,1,4,3,2,1,2,3
"29",1,2,2,1,2,4,2,1
"30",2,2,3,1,4,3,3,3
"31",1,2,3,3,1,2,1,4
"32",2,3,1,3,2,4,2,3
"33",2,1,1,1,2,1,3,4
"34",4,1,3,1,4,3,2,4
"35",3,2,3,4,3,1,4,4
"36",1,2,4,1,3,1,1,2
"37",4,2,1,4,2,3,1,4
"38",3,1,3,4,2,2,2,1
"39",3,3,4,1,2,4,1,3
"40",2,4,1,2,1,3,1,1
"41",2,3,1,4,4,3,4,2
"42",2,4,2,4,4,1,1,3
"43",3,4,4,2,4,2,3,2
"44",4,2,4,2,2,3,3,1
