"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,2,3,3,2,3,3,3,2,1,3,3,2
"2",1,3,3,2,3,2,3,3,2,1,1,2,3
"3",1,3,2,1,3,2,1,1,3,2,1,2,2
"4",1,2,1,3,2,1,3,2,1,2,1,3,1
"5",1,1,2,2,2,1,3,3,3,3,3,2,1
"6",3,2,2,2,1,1,2,2,2,3,3,3,3
"7",3,3,1,1,1,2,3,3,3,3,2,2,2
"8",3,2,3,3,3,2,3,2,3,3,3,1,2
"9",2,3,2,3,1,3,3,1,1,3,1,2,2
"10",3,1,2,3,1,1,3,2,2,1,1,1,2
"11",1,2,1,1,2,1,2,1,1,2,1,1,3
"12",1,2,2,1,2,3,1,1,1,3,3,3,2
"13",3,1,3,1,2,1,3,1,2,2,2,2,3
"14",2,1,3,3,3,2,2,1,2,3,2,3,1
"15",2,2,3,1,1,2,2,3,1,3,2,1,1
"16",1,2,3,1,1,2,2,2,3,3,1,3,3
"17",1,2,1,2,3,3,2,2,3,1,3,2,1
"18",3,2,2,2,3,3,3,1,3,2,1,3,3
"19",2,3,3,2,2,3,1,2,3,3,3,1,3
"20",1,3,3,2,1,3,3,1,2,2,2,1,1
"21",3,1,1,2,2,2,1,1,2,3,1,1,1
"22",2,3,1,1,1,1,2,1,3,1,2,3,1
"23",1,1,2,3,3,3,1,2,1,2,2,1,3
"24",3,3,3,2,3,1,1,2,1,3,2,2,1
"25",2,1,1,3,1,2,2,1,3,2,3,1,3
"26",2,3,2,3,2,2,2,3,3,1,1,1,1
"27",1,3,1,2,1,1,1,3,2,2,3,1,2
"28",3,2,2,1,2,1,1,3,3,1,2,1,3
"29",3,2,2,3,1,3,1,3,3,2,2,3,1
"30",2,1,3,1,3,3,2,3,2,2,1,2,1
"31",1,1,2,1,1,2,1,2,2,1,3,2,1
"32",3,1,1,1,3,2,2,3,1,2,3,3,2
"33",3,3,3,1,2,3,2,2,1,1,1,1,2
"34",2,3,2,1,3,1,3,2,2,2,3,3,3
"35",2,2,2,2,3,1,3,1,1,1,3,1,1
"36",3,2,3,2,1,2,1,1,1,1,3,2,3
"37",2,2,1,3,3,1,1,3,2,3,1,2,3
"38",3,3,1,3,2,3,2,2,1,2,3,2,1
"39",1,3,2,3,2,2,2,3,1,3,2,3,3
"40",2,1,1,2,2,3,1,2,3,1,1,3,2
"41",3,3,1,3,3,2,1,1,2,1,2,3,2
"42",1,1,3,3,2,1,2,1,3,1,2,2,2
"43",1,1,1,1,3,3,3,2,2,3,2,1,2
"44",2,1,3,2,1,1,1,3,1,2,1,3,2
"45",2,1,1,2,1,3,3,3,1,1,2,2,3
